,house,date,district,census_tract,country,hh_size,migrant_num,wealth_index,remit,lat,long,lat_SPEI,long_SPEI,NDVI_lat,NDVI_lon,sev_lat,sev_lon,pop_cent_lat,pop_cent_long,annual_frequency,severity,autocorrelation,avg_area,NDVI_mean,SVI_severity
19,21,2/18/2010,kampala,kizungu zone a,uganda,5,0,1.247404026,1.0,0.27584,32.59018,0.3,32.6,0.3,32.6,0.3,32.6,0.255971561,32.59039133,1.7,-0.4196157455444336,0.03642204454597373,440799051.74221516,0.2524916731660312,-0.07094924600163688
20,22,2/15/2010,kampala,kizungu zone a,uganda,2,1,3.908792003,0.0,0.27584,32.59018,0.3,32.6,0.3,32.6,0.3,32.6,0.255971561,32.59039133,1.7,-0.4196157455444336,0.03642204454597373,440799051.74221516,0.2524916731660312,-0.07094924600163688
21,23,2/18/2010,kampala,kizungu zone a,uganda,15,1,2.714656166,1.0,0.27584,32.59018,0.3,32.6,0.3,32.6,0.3,32.6,0.255971561,32.59039133,1.7,-0.4196157455444336,0.03642204454597373,440799051.74221516,0.2524916731660312,-0.07094924600163688
22,24,2/18/2010,kampala,kizungu zone a,uganda,4,1,2.434387135,0.0,0.27584,32.59018,0.3,32.6,0.3,32.6,0.3,32.6,0.255971561,32.59039133,1.7,-0.4196157455444336,0.03642204454597373,440799051.74221516,0.2524916731660312,-0.07094924600163688
23,25,2/18/2010,kampala,kizungu zone a,uganda,5,0,3.577030797,,0.27584,32.59018,0.3,32.6,0.3,32.6,0.3,32.6,0.255971561,32.59039133,1.7,-0.4196157455444336,0.03642204454597373,440799051.74221516,0.2524916731660312,-0.07094924600163688
24,26,2/18/2010,kampala,kizungu zone a,uganda,6,2,-0.728916392,0.0,0.27584,32.59018,0.3,32.6,0.3,32.6,0.3,32.6,0.255971561,32.59039133,1.7,-0.4196157455444336,0.03642204454597373,440799051.74221516,0.2524916731660312,-0.07094924600163688
25,27,2/18/2010,kampala,kizungu zone a,uganda,5,0,3.587248981,,0.27584,32.59018,0.3,32.6,0.3,32.6,0.3,32.6,0.255971561,32.59039133,1.7,-0.4196157455444336,0.03642204454597373,440799051.74221516,0.2524916731660312,-0.07094924600163688
26,28,2/18/2010,kampala,kizungu zone a,uganda,3,0,3.118325541,,0.27584,32.59018,0.3,32.6,0.3,32.6,0.3,32.6,0.255971561,32.59039133,1.7,-0.4196157455444336,0.03642204454597373,440799051.74221516,0.2524916731660312,-0.07094924600163688
27,29,2/18/2010,kampala,kizungu zone a,uganda,5,2,3.577030797,0.0,0.27584,32.59018,0.3,32.6,0.3,32.6,0.3,32.6,0.255971561,32.59039133,1.7,-0.4196157455444336,0.03642204454597373,440799051.74221516,0.2524916731660312,-0.07094924600163688
28,30,2/18/2010,kampala,kizungu zone a,uganda,5,1,3.536850112,0.0,0.27584,32.59018,0.3,32.6,0.3,32.6,0.3,32.6,0.255971561,32.59039133,1.7,-0.4196157455444336,0.03642204454597373,440799051.74221516,0.2524916731660312,-0.07094924600163688
29,31,2/15/2010,manafwa,kaboole/butinga,uganda,4,1,-0.163884678,1.0,0.88334,34.42642,0.9,34.45,0.9,34.45,0.9,34.45,0.935776158,34.21127757,1.3,-0.30574400608356184,-0.10584112149532711,357745410.5175422,0.1881873110588824,-0.09794717191277735
30,32,2/15/2010,manafwa,kaboole/butinga,uganda,3,0,-1.063620677,,0.88334,34.42642,0.9,34.45,0.9,34.45,0.9,34.45,0.935776158,34.21127757,1.3,-0.30574400608356184,-0.10584112149532711,357745410.5175422,0.1881873110588824,-0.09794717191277735
31,33,2/15/2010,manafwa,kaboole/butinga,uganda,3,0,-1.962127085,1.0,0.88334,34.42642,0.9,34.45,0.9,34.45,0.9,34.45,0.935776158,34.21127757,1.3,-0.30574400608356184,-0.10584112149532711,357745410.5175422,0.1881873110588824,-0.09794717191277735
32,34,2/15/2010,manafwa,kaboole/butinga,uganda,3,1,-1.00753681,0.0,0.88334,34.42642,0.9,34.45,0.9,34.45,0.9,34.45,0.935776158,34.21127757,1.3,-0.30574400608356184,-0.10584112149532711,357745410.5175422,0.1881873110588824,-0.09794717191277735
33,35,2/15/2010,manafwa,kaboole/butinga,uganda,5,1,-1.811112302,0.0,0.88334,34.42642,0.9,34.45,0.9,34.45,0.9,34.45,0.935776158,34.21127757,1.3,-0.30574400608356184,-0.10584112149532711,357745410.5175422,0.1881873110588824,-0.09794717191277735
34,36,2/15/2010,manafwa,kaboole/butinga,uganda,6,0,-1.48643915,,0.88334,34.42642,0.9,34.45,0.9,34.45,0.9,34.45,0.935776158,34.21127757,1.3,-0.30574400608356184,-0.10584112149532711,357745410.5175422,0.1881873110588824,-0.09794717191277735
35,37,2/15/2010,manafwa,kaboole/butinga,uganda,5,0,-0.940519505,,0.88334,34.42642,0.9,34.45,0.9,34.45,0.9,34.45,0.935776158,34.21127757,1.3,-0.30574400608356184,-0.10584112149532711,357745410.5175422,0.1881873110588824,-0.09794717191277735
36,38,2/15/2010,manafwa,kaboole/butinga,uganda,6,0,-2.537288459,,0.88334,34.42642,0.9,34.45,0.9,34.45,0.9,34.45,0.935776158,34.21127757,1.3,-0.30574400608356184,-0.10584112149532711,357745410.5175422,0.1881873110588824,-0.09794717191277735
37,39,2/15/2010,manafwa,kaboole/butinga,uganda,2,1,-1.117706145,1.0,0.88334,34.42642,0.9,34.45,0.9,34.45,0.9,34.45,0.935776158,34.21127757,1.3,-0.30574400608356184,-0.10584112149532711,357745410.5175422,0.1881873110588824,-0.09794717191277735
38,40,2/15/2010,manafwa,kaboole/butinga,uganda,10,0,-2.62585689,1.0,0.88334,34.42642,0.9,34.45,0.9,34.45,0.9,34.45,0.935776158,34.21127757,1.3,-0.30574400608356184,-0.10584112149532711,357745410.5175422,0.1881873110588824,-0.09794717191277735
39,41,2/16/2010,kamuli,bugaga/bunangwe,uganda,6,0,-1.308870518,,0.96222,33.25307,0.95,33.25,0.95,33.25,0.95,33.25,0.935776158,33.25420097,2.8,-0.5391394070216587,0.03586956521739133,329594077.11346906,0.289236188359038,0.3726600879850736
40,42,2/16/2010,kamuli,bugaga/bunangwe,uganda,8,0,-0.107189452,,0.96222,33.25307,0.95,33.25,0.95,33.25,0.95,33.25,0.935776158,33.25420097,2.8,-0.5391394070216587,0.03586956521739133,329594077.11346906,0.289236188359038,0.3726600879850736
41,43,2/16/2010,kamuli,bugaga/bunangwe,uganda,6,0,-2.537288459,,0.96222,33.25307,0.95,33.25,0.95,33.25,0.95,33.25,0.935776158,33.25420097,2.8,-0.5391394070216587,0.03586956521739133,329594077.11346906,0.289236188359038,0.3726600879850736
42,44,2/16/2010,kamuli,bugaga/bunangwe,uganda,9,6,-1.985216848,0.0,0.96222,33.25307,0.95,33.25,0.95,33.25,0.95,33.25,0.935776158,33.25420097,2.8,-0.5391394070216587,0.03586956521739133,329594077.11346906,0.289236188359038,0.3726600879850736
43,45,2/16/2010,kamuli,bugaga/bunangwe,uganda,2,8,-1.710974101,0.0,0.96222,33.25307,0.95,33.25,0.95,33.25,0.95,33.25,0.935776158,33.25420097,2.8,-0.5391394070216587,0.03586956521739133,329594077.11346906,0.289236188359038,0.3726600879850736
44,46,2/16/2010,kamuli,bugaga/bunangwe,uganda,8,3,-0.389320905,1.0,0.96222,33.25307,0.95,33.25,0.95,33.25,0.95,33.25,0.935776158,33.25420097,2.8,-0.5391394070216587,0.03586956521739133,329594077.11346906,0.289236188359038,0.3726600879850736
45,47,2/16/2010,kamuli,bugaga/bunangwe,uganda,8,0,-0.145116187,1.0,0.96222,33.25307,0.95,33.25,0.95,33.25,0.95,33.25,0.935776158,33.25420097,2.8,-0.5391394070216587,0.03586956521739133,329594077.11346906,0.289236188359038,0.3726600879850736
46,48,2/16/2010,kamuli,bugaga/bunangwe,uganda,8,0,-2.562956294,,0.96222,33.25307,0.95,33.25,0.95,33.25,0.95,33.25,0.935776158,33.25420097,2.8,-0.5391394070216587,0.03586956521739133,329594077.11346906,0.289236188359038,0.3726600879850736
47,49,2/16/2010,kamuli,bugaga/bunangwe,uganda,5,1,-1.353833447,0.0,0.96222,33.25307,0.95,33.25,0.95,33.25,0.95,33.25,0.935776158,33.25420097,2.8,-0.5391394070216587,0.03586956521739133,329594077.11346906,0.289236188359038,0.3726600879850736
