house,country,wealth_index,hh_size,migrant_num,any_remit,migrant_hh,migrant_loc,hh_months,remit,census_tract,lat,long,district
45,south_africa,-1.2264502244381903,2,0,NA,NA,NA,NA,NA,mogale city,-25.9871,27.683,west rand district municipality
46,south_africa,1.6302524161839276,4,0,NA,NA,NA,NA,NA,mogale city,-25.9871,27.683,west rand district municipality
47,south_africa,-0.07311320768990348,3,0,NA,NA,NA,NA,NA,mogale city,-25.9871,27.683,west rand district municipality
48,south_africa,-2.9977651928347733,2,0,NA,NA,NA,NA,NA,mogale city,-25.9871,27.683,west rand district municipality
49,south_africa,0.4474207846832151,5,0,NA,NA,NA,NA,NA,mogale city,-25.9871,27.683,west rand district municipality
50,south_africa,-0.285101821793284,5,0,NA,NA,NA,NA,NA,mogale city,-25.9871,27.683,west rand district municipality
51,south_africa,0.6622156427590951,5,0,NA,NA,NA,NA,NA,mogale city,-25.9871,27.683,west rand district municipality
52,south_africa,0.15286939944627734,7,0,NA,NA,NA,NA,NA,mogale city,-25.9871,27.683,west rand district municipality
53,south_africa,1.794626881305389,6,0,NA,NA,NA,NA,NA,mogale city,-25.9871,27.683,west rand district municipality
54,south_africa,0.6879793397501188,4,0,NA,NA,NA,NA,NA,mogale city,-25.9871,27.683,west rand district municipality
55,south_africa,-0.08315829219770637,4,1,NA,hh,national,NA,NA,mogale city,-25.9871,27.683,west rand district municipality
56,south_africa,-3.580998973855522,2,0,NA,NA,NA,NA,NA,mogale city,-25.9871,27.683,west rand district municipality
57,south_africa,-2.0294731030248285,2,0,NA,NA,NA,NA,NA,mogale city,-25.9871,27.683,west rand district municipality
58,south_africa,-0.07031519446581969,5,0,NA,NA,NA,NA,NA,mogale city,-25.9871,27.683,west rand district municipality
59,south_africa,1.698365675377499,6,0,NA,NA,NA,NA,NA,mogale city,-25.9871,27.683,west rand district municipality
60,south_africa,-1.019265136150684,6,0,NA,NA,NA,NA,NA,mogale city,-25.9871,27.683,west rand district municipality
61,south_africa,-2.7087179923400724,1,1,NA,hh,international,NA,NA,westonaria,-26.3936,27.6565,west rand district municipality
62,south_africa,-2.0294731030248285,2,0,NA,NA,NA,NA,NA,westonaria,-26.3936,27.6565,west rand district municipality
63,south_africa,-1.352620263972175,6,0,NA,NA,NA,NA,NA,westonaria,-26.3936,27.6565,west rand district municipality
64,south_africa,-2.036236705133833,3,0,NA,NA,NA,NA,NA,westonaria,-26.3936,27.6565,west rand district municipality
65,south_africa,-1.2179910977518669,7,0,NA,NA,NA,NA,NA,westonaria,-26.3936,27.6565,west rand district municipality
66,south_africa,-2.1551588915135307,1,0,NA,NA,NA,NA,NA,westonaria,-26.3936,27.6565,west rand district municipality
68,south_africa,0.2512985423999816,7,0,NA,NA,NA,NA,NA,westonaria,-26.3936,27.6565,west rand district municipality
69,south_africa,0.47048754548678406,3,0,NA,NA,NA,NA,NA,westonaria,-26.3936,27.6565,west rand district municipality
70,south_africa,1.4838798291387558,4,0,NA,NA,NA,NA,NA,westonaria,-26.3936,27.6565,west rand district municipality
71,south_africa,-0.5468157089010411,3,0,NA,NA,NA,NA,NA,westonaria,-26.3936,27.6565,west rand district municipality
72,south_africa,0.30267093332752837,5,0,NA,NA,NA,NA,NA,westonaria,-26.3936,27.6565,west rand district municipality
73,south_africa,-0.5938724609271987,3,0,NA,NA,NA,NA,NA,emfuleni,-26.70620512,27.83267563,sedibeng district municipality
74,south_africa,-0.10884448766147975,6,1,1,hh,national,NA,1,emfuleni,-26.70620512,27.83267563,sedibeng district municipality
75,south_africa,0.6433894694387426,5,0,NA,NA,NA,NA,NA,emfuleni,-26.70620512,27.83267563,sedibeng district municipality
76,south_africa,-0.6238742952923612,5,0,NA,NA,NA,NA,NA,emfuleni,-26.70620512,27.83267563,sedibeng district municipality
77,south_africa,-0.16671592898222004,3,0,NA,NA,NA,NA,NA,emfuleni,-26.70620512,27.83267563,sedibeng district municipality
78,south_africa,-0.32083310176486024,4,1,NA,hh,national,NA,NA,emfuleni,-26.70620512,27.83267563,sedibeng district municipality
