,house,date,district,census_tract,country,hh_size,migrant_num,wealth_index,remit,lat,long,lat_SPEI,long_SPEI,NDVI_lat,NDVI_lon,sev_lat,sev_lon,pop_cent_lat,pop_cent_long,annual_frequency,severity,autocorrelation,avg_area,NDVI_mean,SVI_severity
0,1,2/22/2010,kampala,busabala road d,uganda,2,1,3.001766076,0.0,0.276867,32.57624,0.3,32.6,0.3,32.6,0.3,32.6,0.255971561,32.59039133,2.6,-0.6777921181458694,-0.05531914893617021,464352135.4381391,0.246718831689187,-0.11279879351589764
1,2,2/22/2010,kampala,busabala road d,uganda,1,0,3.204158285,,0.276867,32.57624,0.3,32.6,0.3,32.6,0.3,32.6,0.255971561,32.59039133,2.6,-0.6777921181458694,-0.05531914893617021,464352135.4381391,0.246718831689187,-0.11279879351589764
2,3,2/22/2010,kampala,busabala road d,uganda,3,2,3.267929571,1.0,0.276867,32.57624,0.3,32.6,0.3,32.6,0.3,32.6,0.255971561,32.59039133,2.6,-0.6777921181458694,-0.05531914893617021,464352135.4381391,0.246718831689187,-0.11279879351589764
3,4,2/22/2010,kampala,busabala road d,uganda,3,1,3.880181089,1.0,0.276867,32.57624,0.3,32.6,0.3,32.6,0.3,32.6,0.255971561,32.59039133,2.6,-0.6777921181458694,-0.05531914893617021,464352135.4381391,0.246718831689187,-0.11279879351589764
4,5,2/22/2010,kampala,busabala road d,uganda,1,1,2.697788511,1.0,0.276867,32.57624,0.3,32.6,0.3,32.6,0.3,32.6,0.255971561,32.59039133,2.6,-0.6777921181458694,-0.05531914893617021,464352135.4381391,0.246718831689187,-0.11279879351589764
5,6,2/22/2010,kampala,busabala road d,uganda,1,1,3.161241913,0.0,0.276867,32.57624,0.3,32.6,0.3,32.6,0.3,32.6,0.255971561,32.59039133,2.6,-0.6777921181458694,-0.05531914893617021,464352135.4381391,0.246718831689187,-0.11279879351589764
6,7,2/22/2010,kampala,busabala road d,uganda,2,0,2.817889604,,0.276867,32.57624,0.3,32.6,0.3,32.6,0.3,32.6,0.255971561,32.59039133,2.6,-0.6777921181458694,-0.05531914893617021,464352135.4381391,0.246718831689187,-0.11279879351589764
7,8,2/22/2010,kampala,busabala road d,uganda,3,0,2.83542528,,0.276867,32.57624,0.3,32.6,0.3,32.6,0.3,32.6,0.255971561,32.59039133,2.6,-0.6777921181458694,-0.05531914893617021,464352135.4381391,0.246718831689187,-0.11279879351589764
8,9,2/22/2010,kampala,busabala road d,uganda,2,1,4.191692264,0.0,0.276867,32.57624,0.3,32.6,0.3,32.6,0.3,32.6,0.255971561,32.59039133,2.6,-0.6777921181458694,-0.05531914893617021,464352135.4381391,0.246718831689187,-0.11279879351589764
9,10,2/22/2010,kampala,busabala road d,uganda,2,1,3.161241913,0.0,0.276867,32.57624,0.3,32.6,0.3,32.6,0.3,32.6,0.255971561,32.59039133,2.6,-0.6777921181458694,-0.05531914893617021,464352135.4381391,0.246718831689187,-0.11279879351589764
