house,district,census_tract,country,wealth_index,hh_size,migrant_num,any_remit,migrant_hh,migrant_loc,hh_months,remit,lat,long
34,niger,abdullahi,nigeria,1.1404048620879048,3,0,1,non-hh,national,NA,1,9.080227094,6.01051127
35,niger,abdullahi,nigeria,-0.5385488735642108,12,2,1,hh,national,120,1,9.080227094,6.01051127
35,niger,abdullahi,nigeria,-0.5385488735642108,12,2,1,hh,national,12,1,9.080227094,6.01051127
36,niger,abdullahi,nigeria,0.7050542278842898,7,0,NA,NA,NA,NA,NA,9.080227094,6.01051127
37,niger,abdullahi,nigeria,-1.9793976928643147,14,0,NA,NA,NA,NA,NA,9.080227094,6.01051127
38,niger,abdullahi,nigeria,1.3581881909401332,9,0,NA,NA,NA,NA,NA,9.080227094,6.01051127
39,niger,abdullahi,nigeria,1.5250309380377107,8,0,NA,NA,NA,NA,NA,9.080227094,6.01051127
40,niger,abdullahi,nigeria,-1.8504013835015656,10,0,NA,NA,NA,NA,NA,9.080227094,6.01051127
41,niger,abdullahi,nigeria,0.5137272142327574,8,1,NA,hh,national,72,NA,9.080227094,6.01051127
42,niger,abdullahi,nigeria,0.5385208184476934,8,0,1,non-hh,national,NA,1,9.080227094,6.01051127
42,niger,abdullahi,nigeria,0.5385208184476934,8,0,1,non-hh,national,NA,1,9.080227094,6.01051127
43,niger,abdullahi,nigeria,2.585045577572483,21,7,NA,hh,national,24,NA,9.080227094,6.01051127
43,niger,abdullahi,nigeria,2.585045577572483,21,7,NA,hh,national,120,NA,9.080227094,6.01051127
43,niger,abdullahi,nigeria,2.585045577572483,21,7,NA,hh,national,120,NA,9.080227094,6.01051127
43,niger,abdullahi,nigeria,2.585045577572483,21,7,NA,hh,national,24,NA,9.080227094,6.01051127
43,niger,abdullahi,nigeria,2.585045577572483,21,7,NA,hh,national,24,NA,9.080227094,6.01051127
43,niger,abdullahi,nigeria,2.585045577572483,21,7,NA,hh,national,48,NA,9.080227094,6.01051127
43,niger,abdullahi,nigeria,2.585045577572483,21,7,NA,hh,national,108,NA,9.080227094,6.01051127
44,niger,abdullahi,nigeria,3.045757706035427,5,0,NA,NA,NA,NA,NA,9.080227094,6.01051127
45,niger,abdullahi,nigeria,3.005745761002847,8,0,NA,NA,NA,NA,NA,9.080227094,6.01051127
46,niger,abdullahi,nigeria,-0.6520585980433921,6,1,1,hh,national,60,NA,9.080227094,6.01051127
46,niger,abdullahi,nigeria,-0.6520585980433921,6,1,1,non-hh,national,NA,1,9.080227094,6.01051127
47,niger,abdullahi,nigeria,-0.8956568803461562,12,0,NA,NA,NA,NA,NA,9.080227094,6.01051127
48,niger,abdullahi,nigeria,-1.0448442935423716,5,0,NA,NA,NA,NA,NA,9.080227094,6.01051127
49,niger,abdullahi,nigeria,-1.4202025069843534,4,0,NA,NA,NA,NA,NA,9.080227094,6.01051127
50,niger,abdullahi,nigeria,2.8880011646546424,21,0,NA,NA,NA,NA,NA,9.080227094,6.01051127
51,niger,abdullahi,nigeria,-1.5897561734372831,15,4,1,hh,national,120,1,9.080227094,6.01051127
51,niger,abdullahi,nigeria,-1.5897561734372831,15,4,1,hh,national,72,1,9.080227094,6.01051127
51,niger,abdullahi,nigeria,-1.5897561734372831,15,4,1,hh,national,120,1,9.080227094,6.01051127
51,niger,abdullahi,nigeria,-1.5897561734372831,15,4,1,hh,national,120,1,9.080227094,6.01051127
52,niger,abdullahi,nigeria,0.9831254730469189,5,0,NA,NA,NA,NA,NA,9.080227094,6.01051127
53,niger,abdullahi,nigeria,1.1511221306998585,5,0,NA,NA,NA,NA,NA,9.080227094,6.01051127
54,niger,abdullahi,nigeria,1.493466093992223,3,0,NA,NA,NA,NA,NA,9.080227094,6.01051127
55,niger,abdullahi,nigeria,1.7424419314402029,3,0,NA,NA,NA,NA,NA,9.080227094,6.01051127
56,niger,abdullahi,nigeria,1.125373983971006,8,0,NA,NA,NA,NA,NA,9.080227094,6.01051127
57,niger,abdullahi,nigeria,-0.6903821567150239,7,0,NA,NA,NA,NA,NA,9.080227094,6.01051127
58,niger,abdullahi,nigeria,-0.5037540674656402,6,0,NA,NA,NA,NA,NA,9.080227094,6.01051127
59,niger,abdullahi,nigeria,-1.3658970610306578,5,0,NA,NA,NA,NA,NA,9.080227094,6.01051127
60,lagos,adedoyin,nigeria,1.2003629986399427,5,3,NA,hh,international,24,NA,6.5961,3.3408
60,lagos,adedoyin,nigeria,1.2003629986399427,5,3,NA,hh,international,12,NA,6.5961,3.3408
60,lagos,adedoyin,nigeria,1.2003629986399427,5,3,NA,hh,international,36,NA,6.5961,3.3408
61,lagos,adedoyin,nigeria,2.1192049288782155,4,4,NA,hh,national,72,NA,6.5961,3.3408
61,lagos,adedoyin,nigeria,2.1192049288782155,4,4,NA,hh,national,36,NA,6.5961,3.3408
61,lagos,adedoyin,nigeria,2.1192049288782155,4,4,NA,hh,national,48,NA,6.5961,3.3408
61,lagos,adedoyin,nigeria,2.1192049288782155,4,4,NA,hh,international,36,NA,6.5961,3.3408
62,lagos,adedoyin,nigeria,1.8950851690110062,5,1,1,hh,international,12,1,6.5961,3.3408
63,lagos,adedoyin,nigeria,1.6809954491837154,10,1,1,hh,international,84,1,6.5961,3.3408
64,lagos,adedoyin,nigeria,1.754450056020238,5,2,NA,hh,international,36,NA,6.5961,3.3408
64,lagos,adedoyin,nigeria,1.754450056020238,5,2,NA,hh,international,24,NA,6.5961,3.3408
65,lagos,adedoyin,nigeria,1.7319037388448897,6,3,NA,hh,national,72,NA,6.5961,3.3408
65,lagos,adedoyin,nigeria,1.7319037388448897,6,3,NA,hh,international,24,NA,6.5961,3.3408
65,lagos,adedoyin,nigeria,1.7319037388448897,6,3,NA,hh,international,36,NA,6.5961,3.3408
66,lagos,adedoyin,nigeria,1.2680019501659876,2,1,1,hh,international,36,1,6.5961,3.3408
67,lagos,adedoyin,nigeria,1.1327240471138975,4,3,NA,hh,national,24,NA,6.5961,3.3408
67,lagos,adedoyin,nigeria,1.1327240471138975,4,3,NA,hh,national,24,NA,6.5961,3.3408
67,lagos,adedoyin,nigeria,1.1327240471138975,4,3,NA,hh,international,60,NA,6.5961,3.3408
68,lagos,adedoyin,nigeria,2.3593896410876165,7,3,NA,hh,national,24,NA,6.5961,3.3408
68,lagos,adedoyin,nigeria,2.3593896410876165,7,3,NA,hh,national,24,NA,6.5961,3.3408
68,lagos,adedoyin,nigeria,2.3593896410876165,7,3,NA,hh,international,12,NA,6.5961,3.3408
69,lagos,adedoyin,nigeria,1.6640373856872848,4,2,NA,hh,international,24,NA,6.5961,3.3408
69,lagos,adedoyin,nigeria,1.6640373856872848,4,2,NA,hh,international,24,NA,6.5961,3.3408
70,lagos,adedoyin,nigeria,2.3168232823542225,4,1,1,hh,international,24,1,6.5961,3.3408
71,lagos,adedoyin,nigeria,1.7792946733200268,8,3,1,hh,national,60,NA,6.5961,3.3408
71,lagos,adedoyin,nigeria,1.7792946733200268,8,3,1,hh,national,12,NA,6.5961,3.3408
