house,district,census_tract,country,wealth_index,hh_size,migrant_num,any_remit,migrant_hh,migrant_loc,hh_months,remit,lat,long
553,pikine,samba niang,senegal,1.35143821322126,6,0,NA,NA,NA,NA,NA,14.80972717,-15.90288816
1917,podor,namaye,senegal,-0.761117956600201,9,0,NA,NA,NA,NA,NA,NA,NA
611,rufisque,diokoul kaw,senegal,2.61159209695969,12,2,NA,hh,national,9,NA,NA,NA
611,rufisque,diokoul kaw,senegal,2.61159209695969,12,2,NA,hh,national,12,NA,NA,NA
590,dakar,hlm 4,senegal,1.6612141280623,14,1,NA,hh,national,1,NA,14.71207849,-17.44431032
849,diourbel,medinatoul,senegal,1.3203757589469,7,0,NA,NA,NA,NA,NA,NA,NA
1259,mbacke,khaira,senegal,1.07187612475203,9,1,NA,hh,national,60,NA,NA,NA
1837,st-louis,sor nord,senegal,1.34367259965267,5,1,NA,hh,national,240,NA,NA,NA
4022,pikine,cite rochette,senegal,1.94595329224392,5,0,NA,NA,NA,NA,NA,14.75717772,-17.36506108
568,pikine,cite icotaf,senegal,2.07148665718864,6,1,1,hh,international,12,1,14.7155408,-17.26173081
45,dakar,mermoz ambassades,senegal,1.99383052150274,10,1,1,hh,national,18,1,14.68949,-17.47308
3027,dakar,dieuppeul 1,senegal,1.94595329224392,5,3,1,hh,international,60,1,14.71997203,-17.45283341
3027,dakar,dieuppeul 1,senegal,1.94595329224392,5,3,1,hh,international,60,1,14.71997203,-17.45283341
3027,dakar,dieuppeul 1,senegal,1.94595329224392,5,3,1,hh,international,60,1,14.71997203,-17.45283341
887,bambeye,leona sud,senegal,1.07187612475203,9,0,NA,NA,NA,NA,NA,NA,NA
4047,dakar,zone b batiment,senegal,2.71867888232308,2,2,NA,hh,international,96,NA,14.69732106,-17.45429777
4047,dakar,zone b batiment,senegal,2.71867888232308,2,2,NA,hh,international,96,NA,14.69732106,-17.45429777
557,pikine,samba niang,senegal,1.92524498939435,9,0,NA,NA,NA,NA,NA,14.80972717,-15.90288816
764,diourbel,medinatoul,senegal,1.5287423352899,6,0,NA,NA,NA,NA,NA,NA,NA
862,diourbel,medinatoul,senegal,0.737773580621401,5,1,1,hh,international,72,1,NA,NA
463,guediawaye,hlm las palmas,senegal,3.17982319639932,5,1,1,hh,international,120,1,14.77009217,-17.40633211
1223,diourbel,thierno kandji,senegal,1.4562632753164,5,0,NA,NA,NA,NA,NA,NA,NA
3034,dakar,liberte 6,senegal,2.72513950588275,6,1,NA,hh,national,14,NA,14.72838123,-17.46996712
822,foundiougne,passy,senegal,0.373461285103935,10,1,1,hh,international,36,1,NA,NA
256,dakar,hlm gueule tapee,senegal,0.759765431318251,8,0,NA,NA,NA,NA,NA,14.69586,-17.45096
1905,podor,sourboti,senegal,1.38913137680513,12,1,1,hh,international,72,1,"16.22157694370984, -14.05861087753233",-14.09291881
523,dakar,liberte 1,senegal,2.59442906522564,6,1,NA,hh,international,22,NA,14.71053471,-17.46092585
1234,diourbel,thierno kandji,senegal,1.32452265844131,20,8,1,hh,international,120,1,NA,NA
1234,diourbel,thierno kandji,senegal,1.32452265844131,20,8,1,hh,international,96,1,NA,NA
1234,diourbel,thierno kandji,senegal,1.32452265844131,20,8,1,hh,international,60,1,NA,NA
1234,diourbel,thierno kandji,senegal,1.32452265844131,20,8,1,hh,national,60,NA,NA,NA
1234,diourbel,thierno kandji,senegal,1.32452265844131,20,8,1,hh,national,12,NA,NA,NA
1234,diourbel,thierno kandji,senegal,1.32452265844131,20,8,1,hh,international,24,NA,NA,NA
1234,diourbel,thierno kandji,senegal,1.32452265844131,20,8,1,hh,international,12,NA,NA,NA
1234,diourbel,thierno kandji,senegal,1.32452265844131,20,8,1,hh,international,300,NA,NA,NA
447,dakar,arafat,senegal,-0.900375169570198,12,1,1,hh,national,56,1,14.71105977,-17.4688686
