,house,district,census_tract,country,date,hh_size,migrant_num,wealth_index,remit,lat,long,lat_SPEI,long_SPEI,NDVI_lat,NDVI_lon,sev_lat,sev_lon,pop_cent_lat,pop_cent_long,annual_frequency,severity,autocorrelation,avg_area,NDVI_mean,SVI_severity
20,21,kiambu,mbwa kali,kenya,2009-11-08,5,0,0.0457334752267348,,-1.170804963,36.83215946,-1.15,36.85,-1.15,36.85,-1.15,36.85,-1.171483094,36.83482913,2.0,-0.6652708411216736,-0.03999999999999998,421108330.57742584,0.21699564755643805,-0.24857260180162682
21,22,kiambu,mbwa kali,kenya,2009-11-07,3,0,1.459239705857913,,-1.170804963,36.83215946,-1.15,36.85,-1.15,36.85,-1.15,36.85,-1.171483094,36.83482913,2.0,-0.6652708411216736,-0.03999999999999998,421108330.57742584,0.21699564755643805,-0.24857260180162682
22,23,kiambu,guthunguri,kenya,2009-11-08,2,2,-1.8975078851688376,1.0,-1.058419348,36.77391802,-1.05,36.75,-1.05,36.75,-1.05,36.75,-1.055519874,36.78326626,2.2,-0.46845349398526276,0.04601113172541742,382837203.615697,0.27654106992620336,0.5355590645475488
23,24,kiambu,mbwa kali,kenya,2009-11-06,7,1,-3.0774777747749487,1.0,-1.170804963,36.83215946,-1.15,36.85,-1.15,36.85,-1.15,36.85,-1.171483094,36.83482913,2.0,-0.6652708411216736,-0.03999999999999998,421108330.57742584,0.21699564755643805,-0.24857260180162682
24,25,kiambu,sigona/nyathuwa,kenya,2009-11-08,7,2,0.1698229626824651,0.0,-1.213613261,36.66018801,-1.2,36.65,-1.2,36.65,-1.2,36.65,-1.215067728,36.66130178,2.2,-0.39200050180608575,-0.06530612244897965,462130948.84215754,0.25150041220518055,0.38864028656762345
25,26,kiambu,sigona/nyathuwa,kenya,2009-11-08,2,2,-2.445297463806225,0.0,-1.213613261,36.66018801,-1.2,36.65,-1.2,36.65,-1.2,36.65,-1.215067728,36.66130178,2.2,-0.39200050180608575,-0.06530612244897965,462130948.84215754,0.25150041220518055,0.38864028656762345
26,27,kisii,kerera,kenya,2009-11-05,6,1,0.1016429385835832,1.0,-0.754425695,34.82872552,-0.75,34.85,-0.75,34.85,-0.75,34.85,-0.74192679,34.83335642,3.0,-0.3159813642501831,-0.24444444444444438,330437240.1493505,0.23355444253592078,-0.020550983725064968
27,28,kisii,irianyi,kenya,2009-11-05,5,1,3.093204554804688,1.0,-0.662238252,34.85472107,-0.65,34.85,-0.65,34.85,-0.65,34.85,-0.670594976,34.83335642,2.8,-0.3546004039900644,-0.2347826086956522,300490300.2912524,0.22434341876625327,-0.042685082959821034
28,29,kisii,kerera,kenya,2009-11-05,4,0,-0.4080460383514879,,-0.754425695,34.82872552,-0.75,34.85,-0.75,34.85,-0.75,34.85,-0.74192679,34.83335642,3.0,-0.3159813642501831,-0.24444444444444438,330437240.1493505,0.23355444253592078,-0.020550983725064968
29,30,kisii,bomakombi,kenya,2009-11-05,6,5,-1.4799445380000382,1.0,-0.70441522,34.69546123,-0.7,34.7,-0.7,34.7,-0.7,34.7,-0.695549267,34.69940774,1.2,-0.23560301462809244,-0.0777777777777778,700261152.4223269,0.23300606041451694,0.15756949598715767
30,31,kisii,kerera,kenya,2009-11-05,5,2,2.7093323599652988,1.0,-0.754425695,34.82872552,-0.75,34.85,-0.75,34.85,-0.75,34.85,-0.74192679,34.83335642,3.0,-0.3159813642501831,-0.24444444444444438,330437240.1493505,0.23355444253592078,-0.020550983725064968
31,32,kisii,bomakombi,kenya,2009-11-05,4,0,-1.2163900327469108,,-0.70441522,34.69546123,-0.7,34.7,-0.7,34.7,-0.7,34.7,-0.695549267,34.69940774,1.2,-0.23560301462809244,-0.0777777777777778,700261152.4223269,0.23300606041451694,0.15756949598715767
32,33,kisii,bonyanchaire,kenya,2009-11-06,3,0,0.9527530176672548,,-0.678288351,34.70904985,-0.7,34.7,-0.7,34.7,-0.7,34.7,-0.679486877,34.71499914,1.2,-0.23560301462809244,-0.0777777777777778,700261152.4223269,0.23300606041451694,0.15756949598715767
