house,district,census_tract,country,date,wealth_index,hh_size,migrant_num,any_remit,migrant_hh,migrant_loc,hh_months,remit,lat,long
28,kisii,irianyi,kenya,2009-11-05,3.093204554804688,5,1,1,hh,national,24,1,-0.662238252,34.85472107
29,kisii,kerera,kenya,2009-11-05,-0.4080460383514879,4,0,NA,NA,NA,NA,NA,-0.754425695,34.82872552
30,kisii,bomakombi,kenya,2009-11-05,-1.4799445380000382,6,5,1,hh,national,101,1,-0.70441522,34.69546123
30,kisii,bomakombi,kenya,2009-11-05,-1.4799445380000382,6,5,1,hh,national,NA,1,-0.70441522,34.69546123
30,kisii,bomakombi,kenya,2009-11-05,-1.4799445380000382,6,5,1,hh,national,NA,NA,-0.70441522,34.69546123
31,kisii,kerera,kenya,2009-11-05,2.7093323599652988,5,2,1,hh,national,120,1,-0.754425695,34.82872552
31,kisii,kerera,kenya,2009-11-05,2.7093323599652988,5,2,1,hh,national,NA,1,-0.754425695,34.82872552
31,kisii,kerera,kenya,2009-11-05,2.7093323599652988,5,2,1,non-hh,national,NA,1,-0.754425695,34.82872552
32,kisii,bomakombi,kenya,2009-11-05,-1.2163900327469108,4,0,NA,NA,NA,NA,NA,-0.70441522,34.69546123
33,kisii,bonyanchaire,kenya,2009-11-06,0.9527530176672547,3,0,NA,NA,NA,NA,NA,-0.678288351,34.70904985
34,kisii,bonyanchaire,kenya,2009-11-06,0.660345586574911,4,1,1,hh,national,72,1,-0.678288351,34.70904985
34,kisii,bonyanchaire,kenya,2009-11-06,0.660345586574911,4,1,1,non-hh,national,NA,1,-0.678288351,34.70904985
35,kisii,bonyanchaire,kenya,2009-11-06,0.3393674028764276,7,0,NA,NA,NA,NA,NA,-0.678288351,34.70904985
36,machakos,kaluoki,kenya,2009-11-10,-1.7180253677601496,3,1,1,hh,national,48,1,-1.522391812,37.26633915
37,machakos,kaluoki,kenya,2009-11-10,-0.5810709025501857,3,1,1,hh,national,12,1,-1.522391812,37.26633915
37,machakos,kaluoki,kenya,2009-11-10,-0.5810709025501857,3,1,1,non-hh,national,NA,1,-1.522391812,37.26633915
39,machakos,kaluoki,kenya,2009-11-10,-1.446026458758377,4,2,1,hh,national,24,NA,-1.522391812,37.26633915
39,machakos,kaluoki,kenya,2009-11-10,-1.446026458758377,4,2,1,hh,national,24,1,-1.522391812,37.26633915
40,nakuru,section 58,kenya,2009-11-09,-3.0900108674401845,4,2,1,hh,national,24,1,-0.283812727,36.09431466
40,nakuru,section 58,kenya,2009-11-09,-3.0900108674401845,4,2,1,hh,international,36,1,-0.283812727,36.09431466
41,nakuru,section 58,kenya,2009-11-09,-3.1180849950103124,1,7,1,hh,international,120,1,-0.283812727,36.09431466
41,nakuru,section 58,kenya,2009-11-09,-3.1180849950103124,1,7,1,hh,international,12,1,-0.283812727,36.09431466
41,nakuru,section 58,kenya,2009-11-09,-3.1180849950103124,1,7,1,hh,international,144,1,-0.283812727,36.09431466
41,nakuru,section 58,kenya,2009-11-09,-3.1180849950103124,1,7,1,hh,national,144,1,-0.283812727,36.09431466
41,nakuru,section 58,kenya,2009-11-09,-3.1180849950103124,1,7,1,hh,national,120,1,-0.283812727,36.09431466
41,nakuru,section 58,kenya,2009-11-09,-3.1180849950103124,1,7,1,hh,national,396,1,-0.283812727,36.09431466
41,nakuru,section 58,kenya,2009-11-09,-3.1180849950103124,1,7,1,hh,national,396,1,-0.283812727,36.09431466
42,nakuru,section 58,kenya,2009-11-09,-1.6869519283928793,4,4,NA,hh,international,108,NA,-0.283812727,36.09431466
42,nakuru,section 58,kenya,2009-11-09,-1.6869519283928793,4,4,NA,hh,international,60,NA,-0.283812727,36.09431466
42,nakuru,section 58,kenya,2009-11-09,-1.6869519283928793,4,4,NA,hh,international,10,NA,-0.283812727,36.09431466
