,house,department,census_tract,country,hh_size,migrant_num,wealth_index,remit,lat,long,lat_SPEI,long_SPEI,NDVI_lat,NDVI_lon,sev_lat,sev_lon,pop_cent_lat,pop_cent_long,annual_frequency,severity,autocorrelation,avg_area,NDVI_mean,SVI_severity
1847,625,rufisque,niagha ouolof,senegal,10,0,0.560823438951166,,14.80539524,-17.23892342,14.8,-17.25,14.8,-17.25,14.8,-17.25,14.81724179,-17.22764196,0.6,-0.23342434565226236,-0.05526315789473685,92929.7663441567,0.21121838802929951,0.6325516641510629
1848,1118,kaolack,sara ndiougary,senegal,10,1,-0.0983871173114819,1.0,,,,,,,,,14.72402296,-17.45998489,,,,,,
1849,1502,matam,diamel,senegal,16,1,-2.33896384220687,1.0,15.83897387,-13.22043021,15.85,-13.2,15.85,-13.2,15.85,-13.2,15.71702669,-13.36263999,0.2,-0.11679589748382568,-0.017796610169491522,15114614.100146627,0.16015655117127092,0.15787220579933586
1850,634,rufisque,niagha ouolof,senegal,16,0,0.509052681827235,,14.80539524,-17.23892342,14.8,-17.25,14.8,-17.25,14.8,-17.25,14.81724179,-17.22764196,0.6,-0.23342434565226236,-0.05526315789473685,92929.7663441567,0.21121838802929951,0.6325516641510629
1851,597,dakar,hlm 4,senegal,7,1,1.41260942346367,1.0,14.71207849,-17.44431032,14.7,-17.45,14.75,-17.399999999999977,14.7,-17.45,14.72094534,-17.45998489,0.0,0.0,,0.0,0.1047905545263934,0.0
1852,685,tiwaouane,ndiandakhoune,senegal,11,1,1.09449715727239,1.0,14.95366585,-16.81168094,14.95,-16.8,14.95,-16.8,14.95,-16.8,15.03429087,-16.79291761,0.2,-0.23555302619934082,-0.01779661016949152,2047657.5410779626,0.18710302971744586,0.8622437542099431
1853,1961,dagana,bouleydi,senegal,5,0,0.620377778808619,,16.58435183,-15.45257669,16.6,-15.45,16.6,-15.45,16.6,-15.45,16.47147469,-15.40508637,0.0,0.0,,0.0,0.17078814899918124,0.0
1854,626,rufisque,niagha ouolof,senegal,20,0,-1.49893737752607,,14.80539524,-17.23892342,14.8,-17.25,14.8,-17.25,14.8,-17.25,14.81724179,-17.22764196,0.6,-0.23342434565226236,-0.05526315789473685,92929.7663441567,0.21121838802929951,0.6325516641510629
1855,1963,dagana,bouleydi,senegal,4,1,1.3313590921952,1.0,16.58435183,-15.45257669,16.6,-15.45,16.6,-15.45,16.6,-15.45,16.47147469,-15.40508637,0.0,0.0,,0.0,0.17078814899918124,0.0
1856,99,pikine,cite lobatt fall,senegal,5,0,-0.789626586023643,,14.74682,-17.40995,14.75,-17.4,14.75,-17.4,14.75,-17.4,14.74391863,-17.39599836,0.6,-0.22445265452067056,-0.05526315789473685,15484.867580907992,0.1047905545263934,0.6902884146796459
1857,1912,podor,nanaye,senegal,12,0,-0.813090756995334,,16.24874342,-14.10811085,16.25,-14.1,16.25,-14.1,16.25,-14.1,16.42033799,-14.01712506,0.2,-0.12431979179382324,-0.017796610169491522,15114614.100146627,0.15275634748350336,0.18228083320403426
