house,district,census_tract,country,date,hh_size,migrant_num,wealth_index,remit,lat,long
61,kisii,nyokabaria,kenya,2009-11-08,2,0,-0.4364101789359959,NA,-0.674091366,34.77188889
62,kisii,nyokabaria,kenya,2009-11-08,3,0,-0.5474057440909651,NA,-0.674091366,34.77188889
63,kisii,nyokabaria,kenya,2009-11-11,1,0,0.8228795676996,NA,-0.674091366,34.77188889
64,kisii,nyokabaria,kenya,2009-11-10,4,0,3.301057999778465,NA,-0.674091366,34.77188889
65,kisii,nyokabaria,kenya,2009-11-10,6,0,1.1100936841667635,NA,-0.674091366,34.77188889
66,kisii,nyokabaria,kenya,2009-11-08,6,0,0.9853706976006003,NA,-0.674091366,34.77188889
67,kisii,kerera,kenya,2009-11-09,9,3,0.19526401831339132,1,-0.754425695,34.82872552
68,kisii,irianyi,kenya,2009-11-08,4,9,3.186307363935628,1,-0.662238252,34.85472107
69,kisii,irianyi,kenya,2009-11-08,7,7,1.0003292236855899,1,-0.662238252,34.85472107
70,kisii,irianyi,kenya,2009-11-08,6,6,1.6120796696483248,1,-0.662238252,34.85472107
71,kisii,kerera,kenya,2009-11-09,6,1,1.706885604044509,1,-0.754425695,34.82872552
72,kisii,kerera,kenya,2009-11-09,4,2,-0.37900915577244054,0,-0.754425695,34.82872552
73,kisii,kerera,kenya,2009-11-09,7,4,0.3065217324803158,1,-0.754425695,34.82872552
74,kisii,kerera,kenya,2009-11-09,4,4,1.1973069604487603,1,-0.754425695,34.82872552
75,kisii,bonyanchaire,kenya,2009-11-08,3,3,-0.46672260831108675,1,-0.678288351,34.70904985
76,kisii,bonyanchaire,kenya,2009-11-09,5,6,-0.45176408222609726,1,-0.678288351,34.70904985
77,kisii,bonyanchaire,kenya,2009-11-09,7,1,3.266086169722239,1,-0.678288351,34.70904985
78,kisii,bonyanchaire,kenya,2009-11-09,3,5,1.6120796696483248,1,-0.678288351,34.70904985
79,kisii,kerera,kenya,2009-11-09,4,1,3.2062520653822806,0,-0.754425695,34.82872552
80,kisii,kerera,kenya,2009-11-09,9,1,1.0302462758555688,1,-0.754425695,34.82872552
81,kisii,kerera,kenya,2009-11-10,5,2,0.9953430483239266,1,-0.754425695,34.82872552
82,kisii,kerera,kenya,2009-11-09,2,1,1.57617920704435,1,-0.754425695,34.82872552
83,kisii,kerera,kenya,2009-11-10,10,1,3.3259202740621965,0,-0.754425695,34.82872552
84,kisii,kerera,kenya,2009-11-10,9,1,3.395726729125481,1,-0.754425695,34.82872552
