,house,district,census_tract,country,hh_size,migrant_num,wealth_index,remit,lat,long,lat_regrid,long_regrid,intensity,magnitude,duration,frequency,severity,dispersion
1792,1882,osun,sunboye modakeke,nigeria,2,1,0.8545993311161039,1.0,7.454149611,4.544291123,7.45,4.55,-1.567857563495636,-1.7172049283981323,2.5,0.3333333333333333,-4.189208149909973,-0.33333333333333326
1793,1883,osun,sunboye modakeke,nigeria,4,2,1.146991247293622,1.0,7.454149611,4.544291123,7.45,4.55,-1.567857563495636,-1.7172049283981323,2.5,0.3333333333333333,-4.189208149909973,-0.33333333333333326
1794,1884,osun,sunboye modakeke,nigeria,5,0,2.5989447312546767,,7.454149611,4.544291123,7.45,4.55,-1.567857563495636,-1.7172049283981323,2.5,0.3333333333333333,-4.189208149909973,-0.33333333333333326
1795,1885,osun,sunboye modakeke,nigeria,3,0,0.8095066967654075,,7.454149611,4.544291123,7.45,4.55,-1.567857563495636,-1.7172049283981323,2.5,0.3333333333333333,-4.189208149909973,-0.33333333333333326
1796,1886,osun,sunboye modakeke,nigeria,4,0,1.1770530035274198,1.0,7.454149611,4.544291123,7.45,4.55,-1.567857563495636,-1.7172049283981323,2.5,0.3333333333333333,-4.189208149909973,-0.33333333333333326
1797,1887,osun,sunboye modakeke,nigeria,3,0,2.206746403516813,,7.454149611,4.544291123,7.45,4.55,-1.567857563495636,-1.7172049283981323,2.5,0.3333333333333333,-4.189208149909973,-0.33333333333333326
1798,1888,osun,sunboye modakeke,nigeria,5,0,1.0145598439394958,,7.454149611,4.544291123,7.45,4.55,-1.567857563495636,-1.7172049283981323,2.5,0.3333333333333333,-4.189208149909973,-0.33333333333333326
1799,1889,edo,ugbekun,nigeria,10,1,0.9037912958623184,1.0,6.312205242,5.652425602,6.3,5.65,-1.8291968901952107,-1.8317365646362305,1.3333333333333333,0.5,-2.3802273670832315,-0.5
1800,1890,edo,ugbekun,nigeria,4,1,3.004614036568141,0.0,6.312205242,5.652425602,6.3,5.65,-1.8291968901952107,-1.8317365646362305,1.3333333333333333,0.5,-2.3802273670832315,-0.5
1801,1891,edo,ugbekun,nigeria,3,4,1.3151783783502258,0.0,6.312205242,5.652425602,6.3,5.65,-1.8291968901952107,-1.8317365646362305,1.3333333333333333,0.5,-2.3802273670832315,-0.5
1802,1892,edo,ugbekun,nigeria,9,5,1.7456633746638133,0.0,6.312205242,5.652425602,6.3,5.65,-1.8291968901952107,-1.8317365646362305,1.3333333333333333,0.5,-2.3802273670832315,-0.5
1803,1893,edo,ugbekun,nigeria,13,4,1.8331913282499648,1.0,6.312205242,5.652425602,6.3,5.65,-1.8291968901952107,-1.8317365646362305,1.3333333333333333,0.5,-2.3802273670832315,-0.5
1804,1894,edo,ugbekun,nigeria,3,1,1.6969783966994498,1.0,6.312205242,5.652425602,6.3,5.65,-1.8291968901952107,-1.8317365646362305,1.3333333333333333,0.5,-2.3802273670832315,-0.5
1805,1895,edo,ugbekun,nigeria,7,1,0.5376122066923429,0.0,6.312205242,5.652425602,6.3,5.65,-1.8291968901952107,-1.8317365646362305,1.3333333333333333,0.5,-2.3802273670832315,-0.5
1806,1896,edo,ugbekun,nigeria,4,6,1.7044938357578991,0.0,6.312205242,5.652425602,6.3,5.65,-1.8291968901952107,-1.8317365646362305,1.3333333333333333,0.5,-2.3802273670832315,-0.5
