,house,country,hh_size,migrant_num,wealth_index,remit,municipality,lat,long,district,lat_regrid,long_regrid,intensity,magnitude,duration,frequency,severity,dispersion,area,NDVI_mean,SVI_severity
21,22,south_africa,6,0,-0.3671985571678829,,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality,-25.75,28.2,-1.7587687969207764,-1.8229289650917053,2.0,0.4,-3.6780319809913635,-0.3999999999999999,243943202.71426648,0.21580417573981384,0.4200968363923242
22,23,south_africa,6,0,-0.439218994575924,,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality,-25.75,28.2,-1.7587687969207764,-1.8229289650917053,2.0,0.4,-3.6780319809913635,-0.3999999999999999,243943202.71426648,0.21580417573981384,0.4200968363923242
23,24,south_africa,2,1,-0.1309846490106437,1.0,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality,-25.75,28.2,-1.7587687969207764,-1.8229289650917053,2.0,0.4,-3.6780319809913635,-0.3999999999999999,243943202.71426648,0.21580417573981384,0.4200968363923242
24,25,south_africa,4,0,-2.4394025661923573,,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality,-25.75,28.2,-1.7587687969207764,-1.8229289650917053,2.0,0.4,-3.6780319809913635,-0.3999999999999999,243943202.71426648,0.21580417573981384,0.4200968363923242
25,26,south_africa,9,0,-0.9559526443973666,,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality,-25.75,28.2,-1.7587687969207764,-1.8229289650917053,2.0,0.4,-3.6780319809913635,-0.3999999999999999,243943202.71426648,0.21580417573981384,0.4200968363923242
26,27,south_africa,6,0,-1.726941409759866,,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality,-25.75,28.2,-1.7587687969207764,-1.8229289650917053,2.0,0.4,-3.6780319809913635,-0.3999999999999999,243943202.71426648,0.21580417573981384,0.4200968363923242
27,28,south_africa,3,0,-0.9739722408460196,,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality,-25.75,28.2,-1.7587687969207764,-1.8229289650917053,2.0,0.4,-3.6780319809913635,-0.3999999999999999,243943202.71426648,0.21580417573981384,0.4200968363923242
28,29,south_africa,6,0,1.3206254354052842,1.0,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality,-25.75,28.2,-1.7587687969207764,-1.8229289650917053,2.0,0.4,-3.6780319809913635,-0.3999999999999999,243943202.71426648,0.21580417573981384,0.4200968363923242
29,30,south_africa,6,0,-0.7202750298087616,,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality,-25.75,28.2,-1.7587687969207764,-1.8229289650917053,2.0,0.4,-3.6780319809913635,-0.3999999999999999,243943202.71426648,0.21580417573981384,0.4200968363923242
30,31,south_africa,3,1,1.2281551317357,1.0,merafong city,-26.4169,27.3995,west rand district municipality,-26.4,27.4,-1.835856318473816,-1.835856318473816,1.0,0.2,-1.835856318473816,-0.19999999999999973,106504465.48872524,0.19147113092458548,0.30978638015444276
