,house,country,hh_size,migrant_num,wealth_index,remit,municipality,lat,long,district,lat_SPEI,long_SPEI,pop_cent_lat,pop_cent_long,intensity,magnitude,duration,frequency,severity,dispersion,area,NDVI_mean,SVI_severity
19,20,south_africa,6,0,0.5575044795279581,,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality,-25.75,28.2,-25.69158771,28.24100309,-1.5603216886520386,-1.8229289650917053,5.0,0.4,-7.603725910186768,-0.3999999999999999,284990474.8386017,0.21580417573981384,-0.1419026388037098
20,21,south_africa,1,0,0.542092762249694,,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality,-25.75,28.2,-25.69158771,28.24100309,-1.5603216886520386,-1.8229289650917053,5.0,0.4,-7.603725910186768,-0.3999999999999999,284990474.8386017,0.21580417573981384,-0.1419026388037098
21,22,south_africa,6,0,-0.3671985571678829,,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality,-25.75,28.2,-25.69158771,28.24100309,-1.5603216886520386,-1.8229289650917053,5.0,0.4,-7.603725910186768,-0.3999999999999999,284990474.8386017,0.21580417573981384,-0.1419026388037098
22,23,south_africa,6,0,-0.439218994575924,,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality,-25.75,28.2,-25.69158771,28.24100309,-1.5603216886520386,-1.8229289650917053,5.0,0.4,-7.603725910186768,-0.3999999999999999,284990474.8386017,0.21580417573981384,-0.1419026388037098
23,24,south_africa,2,1,-0.1309846490106437,1.0,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality,-25.75,28.2,-25.69158771,28.24100309,-1.5603216886520386,-1.8229289650917053,5.0,0.4,-7.603725910186768,-0.3999999999999999,284990474.8386017,0.21580417573981384,-0.1419026388037098
24,25,south_africa,4,0,-2.4394025661923573,,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality,-25.75,28.2,-25.69158771,28.24100309,-1.5603216886520386,-1.8229289650917053,5.0,0.4,-7.603725910186768,-0.3999999999999999,284990474.8386017,0.21580417573981384,-0.1419026388037098
25,26,south_africa,9,0,-0.9559526443973666,,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality,-25.75,28.2,-25.69158771,28.24100309,-1.5603216886520386,-1.8229289650917053,5.0,0.4,-7.603725910186768,-0.3999999999999999,284990474.8386017,0.21580417573981384,-0.1419026388037098
26,27,south_africa,6,0,-1.726941409759866,,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality,-25.75,28.2,-25.69158771,28.24100309,-1.5603216886520386,-1.8229289650917053,5.0,0.4,-7.603725910186768,-0.3999999999999999,284990474.8386017,0.21580417573981384,-0.1419026388037098
27,28,south_africa,3,0,-0.9739722408460196,,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality,-25.75,28.2,-25.69158771,28.24100309,-1.5603216886520386,-1.8229289650917053,5.0,0.4,-7.603725910186768,-0.3999999999999999,284990474.8386017,0.21580417573981384,-0.1419026388037098
28,29,south_africa,6,0,1.3206254354052842,1.0,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality,-25.75,28.2,-25.69158771,28.24100309,-1.5603216886520386,-1.8229289650917053,5.0,0.4,-7.603725910186768,-0.3999999999999999,284990474.8386017,0.21580417573981384,-0.1419026388037098
29,30,south_africa,6,0,-0.7202750298087616,,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality,-25.75,28.2,-25.69158771,28.24100309,-1.5603216886520386,-1.8229289650917053,5.0,0.4,-7.603725910186768,-0.3999999999999999,284990474.8386017,0.21580417573981384,-0.1419026388037098
30,31,south_africa,3,1,1.2281551317357,1.0,merafong city,-26.4169,27.3995,west rand district municipality,-26.4,27.4,-26.58006343,27.46044802,-1.3507307767868042,-1.6152430772781372,4.5,0.4,-6.03659200668335,-0.3999999999999999,321642958.52249634,0.19147113092458548,1.5617668697513953
31,32,south_africa,3,0,-0.1501717940812236,,merafong city,-26.4169,27.3995,west rand district municipality,-26.4,27.4,-26.58006343,27.46044802,-1.3507307767868042,-1.6152430772781372,4.5,0.4,-6.03659200668335,-0.3999999999999999,321642958.52249634,0.19147113092458548,1.5617668697513953
32,33,south_africa,3,0,-0.0731132076899034,,merafong city,-26.4169,27.3995,west rand district municipality,-26.4,27.4,-26.58006343,27.46044802,-1.3507307767868042,-1.6152430772781372,4.5,0.4,-6.03659200668335,-0.3999999999999999,321642958.52249634,0.19147113092458548,1.5617668697513953
33,34,south_africa,6,0,-0.1501717940812236,,merafong city,-26.4169,27.3995,west rand district municipality,-26.4,27.4,-26.58006343,27.46044802,-1.3507307767868042,-1.6152430772781372,4.5,0.4,-6.03659200668335,-0.3999999999999999,321642958.52249634,0.19147113092458548,1.5617668697513953
34,35,south_africa,5,0,-0.0816752728444946,1.0,merafong city,-26.4169,27.3995,west rand district municipality,-26.4,27.4,-26.58006343,27.46044802,-1.3507307767868042,-1.6152430772781372,4.5,0.4,-6.03659200668335,-0.3999999999999999,321642958.52249634,0.19147113092458548,1.5617668697513953
35,36,south_africa,5,0,1.7200673634491854,,merafong city,-26.4169,27.3995,west rand district municipality,-26.4,27.4,-26.58006343,27.46044802,-1.3507307767868042,-1.6152430772781372,4.5,0.4,-6.03659200668335,-0.3999999999999999,321642958.52249634,0.19147113092458548,1.5617668697513953
36,37,south_africa,6,0,-1.0895601204329997,,merafong city,-26.4169,27.3995,west rand district municipality,-26.4,27.4,-26.58006343,27.46044802,-1.3507307767868042,-1.6152430772781372,4.5,0.4,-6.03659200668335,-0.3999999999999999,321642958.52249634,0.19147113092458548,1.5617668697513953
37,38,south_africa,3,0,-2.070295290425981,,merafong city,-26.4169,27.3995,west rand district municipality,-26.4,27.4,-26.58006343,27.46044802,-1.3507307767868042,-1.6152430772781372,4.5,0.4,-6.03659200668335,-0.3999999999999999,321642958.52249634,0.19147113092458548,1.5617668697513953
38,39,south_africa,2,0,1.621307088986179,,merafong city,-26.4169,27.3995,west rand district municipality,-26.4,27.4,-26.58006343,27.46044802,-1.3507307767868042,-1.6152430772781372,4.5,0.4,-6.03659200668335,-0.3999999999999999,321642958.52249634,0.19147113092458548,1.5617668697513953
39,40,south_africa,2,0,0.0195864896573871,,merafong city,-26.4169,27.3995,west rand district municipality,-26.4,27.4,-26.58006343,27.46044802,-1.3507307767868042,-1.6152430772781372,4.5,0.4,-6.03659200668335,-0.3999999999999999,321642958.52249634,0.19147113092458548,1.5617668697513953
40,41,south_africa,3,0,-0.1088444876614797,,merafong city,-26.4169,27.3995,west rand district municipality,-26.4,27.4,-26.58006343,27.46044802,-1.3507307767868042,-1.6152430772781372,4.5,0.4,-6.03659200668335,-0.3999999999999999,321642958.52249634,0.19147113092458548,1.5617668697513953
41,42,south_africa,3,0,-0.0844487160871305,,merafong city,-26.4169,27.3995,west rand district municipality,-26.4,27.4,-26.58006343,27.46044802,-1.3507307767868042,-1.6152430772781372,4.5,0.4,-6.03659200668335,-0.3999999999999999,321642958.52249634,0.19147113092458548,1.5617668697513953
42,43,south_africa,7,0,0.9564757474740464,,mogale city,-25.9871,27.683,west rand district municipality,-26.0,27.7,-25.92086688,27.6869489,-1.455940306186676,-1.6151604056358337,3.5,0.4,-5.046831846237183,-0.3999999999999999,401125997.14233077,0.21300591176629552,0.0710169330692243
43,44,south_africa,2,0,0.3198296699608042,,mogale city,-25.9871,27.683,west rand district municipality,-26.0,27.7,-25.92086688,27.6869489,-1.455940306186676,-1.6151604056358337,3.5,0.4,-5.046831846237183,-0.3999999999999999,401125997.14233077,0.21300591176629552,0.0710169330692243
44,45,south_africa,2,0,-1.2264502244381903,,mogale city,-25.9871,27.683,west rand district municipality,-26.0,27.7,-25.92086688,27.6869489,-1.455940306186676,-1.6151604056358337,3.5,0.4,-5.046831846237183,-0.3999999999999999,401125997.14233077,0.21300591176629552,0.0710169330692243
