,house,country,frequency,severity,dispersion,area,NDVI_mean,SVI_severity
0,1171,senegal,0.2,-5.484847545623779,-0.19999999999999973,434620.2223702986,0.20425827531878404,3.9799957659604823
1,384,senegal,0.2,-1.394659399986267,-0.19999999999999973,51933248.42775294,0.16610312408759917,-1.279983807383122
2,1727,senegal,0.0,0.0,0.0,0.0,0.18537822829629896,0.0
3,1402,senegal,0.2,-2.779369592666626,-0.19999999999999973,121965880.44110934,0.153998833792147,-0.5527979538205355
4,1514,senegal,0.2,-3.049075126647949,-0.19999999999999973,121965880.44110934,0.15892811126726786,-0.4926943930312859
5,1750,senegal,0.2,-3.17159104347229,-0.19999999999999973,121965880.44110934,0.17367146808388914,-0.05237268956559904
6,1508,senegal,0.0,0.0,0.0,0.0,0.1530046735568683,0.0
7,1747,senegal,0.0,0.0,0.0,0.0,0.20197392482888424,0.0
8,1522,senegal,0.0,0.0,0.0,0.0,0.1530046735568683,0.0
9,1865,senegal,0.0,0.0,0.0,0.0,0.15500495166200828,0.0
10,1896,senegal,0.2,-1.2934894561767578,-0.19999999999999973,51933248.42775294,0.14528045684780805,-1.2787720290299134
11,1229,senegal,0.0,0.0,0.0,0.0,0.1888813782738505,0.0
12,921,senegal,0.0,0.0,0.0,0.0,0.10319156482409106,0.0
13,1776,senegal,0.2,-2.802797555923462,-0.19999999999999984,20381946.084123164,0.2566560701223253,2.5687555136588065
14,1772,senegal,0.2,-2.802797555923462,-0.19999999999999984,20381946.084123164,0.2566560701223253,2.5687555136588065
15,1643,senegal,0.2,-2.6501646041870117,-0.19999999999999984,698515.2744647586,0.20593115061153844,1.5246606087698997
16,1590,senegal,0.2,-3.1077520847320557,-0.19999999999999973,121965880.44110934,0.18089102380088468,-0.586089338876904
17,1880,senegal,0.2,-1.324793815612793,-0.19999999999999973,51933248.42775294,0.145028161062628,-1.0734122377505313
18,939,senegal,,,,,,
19,1029,senegal,0.0,0.0,0.0,0.0,0.1813991577423704,0.0
20,832,senegal,0.0,0.0,0.0,0.0,0.18944869645042478,0.0
21,2,senegal,0.0,0.0,0.0,0.0,0.10319156482409106,0.0
22,1551,senegal,0.2,-2.8554277420043945,-0.19999999999999973,121965880.44110934,0.1573156957932611,-0.7169650287271986
23,1781,senegal,0.2,-2.802797555923462,-0.19999999999999984,20381946.084123164,0.2566560701223253,2.5687555136588065
24,731,senegal,0.0,0.0,0.0,0.0,0.1903920850097714,0.0
25,1782,senegal,0.2,-2.802797555923462,-0.19999999999999984,20381946.084123164,0.2566560701223253,2.5687555136588065
26,1387,senegal,,,,,,
27,350,senegal,0.0,0.0,0.0,0.0,0.10319156482409106,0.0
28,1141,senegal,0.0,0.0,0.0,0.0,0.2073979017736324,0.0
29,1890,senegal,0.2,-1.324793815612793,-0.19999999999999973,51933248.42775294,0.145028161062628,-1.0734122377505313
