,house,district,census_tract,country,date,hh_size,migrant_num,wealth_index,remit,lat,long,lat_regrid,long_regrid,intensity,magnitude,duration,frequency,severity,dispersion,area,NDVI_mean,SVI_severity
28,29,kisii,kerera,kenya,11/5/2009,4,0,-0.408046038,,-0.754425695,34.82872552,-0.75,34.85,-1.5968827903270721,-1.6692858636379242,2.25,0.8,-3.845115154981613,-0.8,198846275.59763497,0.2176646620599989,-0.07095430164525252
29,30,kisii,bomakombi,kenya,11/5/2009,6,5,-1.479944538,1.0,-0.70441522,34.69546123,-0.7,34.7,-2.0119850635528564,-2.1218271255493164,3.0,0.2,-6.035955429077148,-0.19999999999999973,419523885.8808659,0.22378636470066288,-0.48225635294378133
30,31,kisii,kerera,kenya,11/5/2009,5,2,2.70933236,1.0,-0.754425695,34.82872552,-0.75,34.85,-1.5968827903270721,-1.6692858636379242,2.25,0.8,-3.845115154981613,-0.8,198846275.59763497,0.2176646620599989,-0.07095430164525252
31,32,kisii,bomakombi,kenya,11/5/2009,4,0,-1.216390033,,-0.70441522,34.69546123,-0.7,34.7,-2.0119850635528564,-2.1218271255493164,3.0,0.2,-6.035955429077148,-0.19999999999999973,419523885.8808659,0.22378636470066288,-0.48225635294378133
32,33,kisii,bonyanchaire,kenya,11/6/2009,3,0,0.952753018,,-0.678288351,34.70904985,-0.7,34.7,-2.0119850635528564,-2.1218271255493164,3.0,0.2,-6.035955429077148,-0.19999999999999973,419523885.8808659,0.22378636470066288,-0.48225635294378133
33,34,kisii,bonyanchaire,kenya,11/6/2009,4,1,0.660345587,1.0,-0.678288351,34.70904985,-0.7,34.7,-2.0119850635528564,-2.1218271255493164,3.0,0.2,-6.035955429077148,-0.19999999999999973,419523885.8808659,0.22378636470066288,-0.48225635294378133
34,35,kisii,bonyanchaire,kenya,11/6/2009,7,0,0.339367403,,-0.678288351,34.70904985,-0.7,34.7,-2.0119850635528564,-2.1218271255493164,3.0,0.2,-6.035955429077148,-0.19999999999999973,419523885.8808659,0.22378636470066288,-0.48225635294378133
35,36,machakos,kaluoki,kenya,11/10/2009,3,1,-1.718025368,1.0,-1.522391812,37.26633915,-1.5,37.25,-1.6932993829250336,-1.8430760204792023,2.25,0.6,-3.8753124475479126,0.06666666666666665,409440079.4565756,0.23093912976487968,-1.018864189454069
36,37,machakos,kaluoki,kenya,11/10/2009,3,1,-0.581070903,1.0,-1.522391812,37.26633915,-1.5,37.25,-1.6932993829250336,-1.8430760204792023,2.25,0.6,-3.8753124475479126,0.06666666666666665,409440079.4565756,0.23093912976487968,-1.018864189454069
37,39,machakos,kaluoki,kenya,11/10/2009,4,2,-1.446026459,1.0,-1.522391812,37.26633915,-1.5,37.25,-1.6932993829250336,-1.8430760204792023,2.25,0.6,-3.8753124475479126,0.06666666666666665,409440079.4565756,0.23093912976487968,-1.018864189454069
38,40,nakuru,section 58,kenya,11/9/2009,4,2,-3.090010867,1.0,-0.283812727,36.09431466,-0.3,36.1,-1.8410974740982056,-1.950044830640157,2.0,0.6,-3.682194948196411,-0.5999999999999999,371501488.3083488,0.17070980063279748,-0.6307676315926216
39,41,nakuru,section 58,kenya,11/9/2009,1,7,-3.118084995,1.0,-0.283812727,36.09431466,-0.3,36.1,-1.8410974740982056,-1.950044830640157,2.0,0.6,-3.682194948196411,-0.5999999999999999,371501488.3083488,0.17070980063279748,-0.6307676315926216
40,42,nakuru,section 58,kenya,11/9/2009,4,4,-1.686951928,0.0,-0.283812727,36.09431466,-0.3,36.1,-1.8410974740982056,-1.950044830640157,2.0,0.6,-3.682194948196411,-0.5999999999999999,371501488.3083488,0.17070980063279748,-0.6307676315926216
41,43,nakuru,section 58,kenya,11/9/2009,6,4,-2.265726549,1.0,-0.283812727,36.09431466,-0.3,36.1,-1.8410974740982056,-1.950044830640157,2.0,0.6,-3.682194948196411,-0.5999999999999999,371501488.3083488,0.17070980063279748,-0.6307676315926216
42,44,kisii,bomakombi,kenya,11/10/2009,5,0,1.021741343,,-0.70441522,34.69546123,-0.7,34.7,-2.0119850635528564,-2.1218271255493164,3.0,0.2,-6.035955429077148,-0.19999999999999973,419523885.8808659,0.22378636470066288,-0.48225635294378133
43,45,kisii,bomakombi,kenya,11/10/2009,1,0,0.140843215,,-0.70441522,34.69546123,-0.7,34.7,-2.0119850635528564,-2.1218271255493164,3.0,0.2,-6.035955429077148,-0.19999999999999973,419523885.8808659,0.22378636470066288,-0.48225635294378133
44,46,kisii,bonyanchaire,kenya,11/9/2009,5,0,-0.519108962,,-0.678288351,34.70904985,-0.7,34.7,-2.0119850635528564,-2.1218271255493164,3.0,0.2,-6.035955429077148,-0.19999999999999973,419523885.8808659,0.22378636470066288,-0.48225635294378133
45,47,kisii,bonyanchaire,kenya,11/8/2009,6,0,3.182537202,1.0,-0.678288351,34.70904985,-0.7,34.7,-2.0119850635528564,-2.1218271255493164,3.0,0.2,-6.035955429077148,-0.19999999999999973,419523885.8808659,0.22378636470066288,-0.48225635294378133
46,48,kisii,bomakombi,kenya,11/10/2009,6,0,1.812343324,,-0.70441522,34.69546123,-0.7,34.7,-2.0119850635528564,-2.1218271255493164,3.0,0.2,-6.035955429077148,-0.19999999999999973,419523885.8808659,0.22378636470066288,-0.48225635294378133
47,49,kisii,bonyanchaire,kenya,11/8/2009,4,0,3.332934314,,-0.678288351,34.70904985,-0.7,34.7,-2.0119850635528564,-2.1218271255493164,3.0,0.2,-6.035955429077148,-0.19999999999999973,419523885.8808659,0.22378636470066288,-0.48225635294378133
