,house,district,census_tract,country,hh_size,migrant_num,wealth_index,remit,lat,long,lat_regrid,long_regrid,intensity,magnitude,duration,frequency,severity,dispersion,area,NDVI_mean,SVI_severity
28,30,kampala,kizungu zone a,uganda,5,1,3.536850112,0,0.27584,32.59018,0.3,32.6,-1.728483975,-1.801279515,2.25,0.8,-4.050063729,-0.8,263936467.40063375,0.26081066048879575,-0.260434519
29,31,manafwa,kaboole/butinga,uganda,4,1,-0.163884678,1,0.88334,34.42642,0.9,34.45,-1.886567712,-2.018323898,1.5,0.4,-2.77747941,-0.4,475437086.62202597,0.18719740849726496,1.2960078896421783
30,32,manafwa,kaboole/butinga,uganda,3,0,-1.063620677,,0.88334,34.42642,0.9,34.45,-1.886567712,-2.018323898,1.5,0.4,-2.77747941,-0.4,475437086.62202597,0.18719740849726496,1.2960078896421783
31,33,manafwa,kaboole/butinga,uganda,3,0,-1.962127085,1,0.88334,34.42642,0.9,34.45,-1.886567712,-2.018323898,1.5,0.4,-2.77747941,-0.4,475437086.62202597,0.18719740849726496,1.2960078896421783
32,34,manafwa,kaboole/butinga,uganda,3,1,-1.00753681,0,0.88334,34.42642,0.9,34.45,-1.886567712,-2.018323898,1.5,0.4,-2.77747941,-0.4,475437086.62202597,0.18719740849726496,1.2960078896421783
33,35,manafwa,kaboole/butinga,uganda,5,1,-1.811112302,0,0.88334,34.42642,0.9,34.45,-1.886567712,-2.018323898,1.5,0.4,-2.77747941,-0.4,475437086.62202597,0.18719740849726496,1.2960078896421783
34,36,manafwa,kaboole/butinga,uganda,6,0,-1.48643915,,0.88334,34.42642,0.9,34.45,-1.886567712,-2.018323898,1.5,0.4,-2.77747941,-0.4,475437086.62202597,0.18719740849726496,1.2960078896421783
35,37,manafwa,kaboole/butinga,uganda,5,0,-0.940519505,,0.88334,34.42642,0.9,34.45,-1.886567712,-2.018323898,1.5,0.4,-2.77747941,-0.4,475437086.62202597,0.18719740849726496,1.2960078896421783
36,38,manafwa,kaboole/butinga,uganda,6,0,-2.537288459,,0.88334,34.42642,0.9,34.45,-1.886567712,-2.018323898,1.5,0.4,-2.77747941,-0.4,475437086.62202597,0.18719740849726496,1.2960078896421783
37,39,manafwa,kaboole/butinga,uganda,2,1,-1.117706145,1,0.88334,34.42642,0.9,34.45,-1.886567712,-2.018323898,1.5,0.4,-2.77747941,-0.4,475437086.62202597,0.18719740849726496,1.2960078896421783
