,house,country,frequency,severity,dispersion,area,NDVI_mean,SVI_severity
0,1,kenya,0.4,-10.473635792732239,-0.3999999999999999,646732731.0334496,0.1868949074233102,-4.059903146777217
1,2,kenya,0.4,-10.473635792732239,-0.3999999999999999,646732731.0334496,0.1868949074233102,-4.059903146777217
2,3,kenya,0.4,-10.473635792732239,-0.3999999999999999,646732731.0334496,0.1868949074233102,-4.059903146777217
3,4,kenya,0.4,-10.473635792732239,-0.3999999999999999,646732731.0334496,0.1868949074233102,-4.059903146777217
4,5,kenya,0.4,-10.473635792732239,-0.3999999999999999,646732731.0334496,0.1868949074233102,-4.059903146777217
5,6,kenya,0.4,-10.473635792732239,-0.3999999999999999,646732731.0334496,0.1868949074233102,-4.059903146777217
6,7,kenya,0.4,-10.473635792732239,-0.3999999999999999,646732731.0334496,0.1868949074233102,-4.059903146777217
7,8,kenya,0.4,-10.473635792732239,-0.3999999999999999,646732731.0334496,0.1868949074233102,-4.059903146777217
8,9,kenya,0.4,-10.473635792732239,-0.3999999999999999,646732731.0334496,0.1868949074233102,-4.059903146777217
9,10,kenya,0.4,-10.473635792732239,-0.3999999999999999,646732731.0334496,0.1868949074233102,-4.059903146777217
10,11,kenya,0.4,-10.473635792732239,-0.3999999999999999,646732731.0334496,0.1868949074233102,-4.059903146777217
11,12,kenya,0.4,-10.473635792732239,-0.3999999999999999,646732731.0334496,0.1868949074233102,-4.059903146777217
12,13,kenya,0.4,-10.473635792732239,-0.3999999999999999,646732731.0334496,0.1868949074233102,-4.059903146777217
13,14,kenya,0.4,-10.473635792732239,-0.3999999999999999,646732731.0334496,0.1868949074233102,-4.059903146777217
14,15,kenya,0.4,-10.473635792732239,-0.3999999999999999,646732731.0334496,0.1868949074233102,-4.059903146777217
15,16,kenya,0.4,-10.473635792732239,-0.3999999999999999,646732731.0334496,0.1868949074233102,-4.059903146777217
16,17,kenya,0.4,-10.473635792732239,-0.3999999999999999,646732731.0334496,0.1868949074233102,-4.059903146777217
17,18,kenya,0.2,-18.457353591918945,-0.19999999999999984,421108330.57742584,0.22856255272502962,-2.4857260180162672
18,19,kenya,0.4,-9.055092811584473,-0.3999999999999999,646732731.0334496,0.2436836131442984,2.1375215761219293
19,20,kenya,0.4,-9.055092811584473,-0.3999999999999999,646732731.0334496,0.2436836131442984,2.1375215761219293
20,21,kenya,0.2,-18.457353591918945,-0.19999999999999984,421108330.57742584,0.22856255272502962,-2.4857260180162672
21,22,kenya,0.2,-18.457353591918945,-0.19999999999999984,421108330.57742584,0.22856255272502962,-2.4857260180162672
22,23,kenya,0.4,-9.715836763381958,-0.3999999999999999,210617132.28791732,0.24960287899731454,2.945574855011518
23,24,kenya,0.2,-18.457353591918945,-0.19999999999999984,421108330.57742584,0.22856255272502962,-2.4857260180162672
24,25,kenya,0.4,-9.055092811584473,-0.3999999999999999,646732731.0334496,0.2436836131442984,2.1375215761219293
25,26,kenya,0.4,-9.055092811584473,-0.3999999999999999,646732731.0334496,0.2436836131442984,2.1375215761219293
26,27,kenya,1.0,-4.886946638425191,-0.19999999999999996,431859622.7324624,0.2176646620599989,0.20577790164543228
27,28,kenya,1.2,-3.4173064827919006,-0.5333333333333332,385160195.50738984,0.20952260109076443,0.19823502602930837
28,29,kenya,1.0,-4.886946638425191,-0.19999999999999996,431859622.7324624,0.2176646620599989,0.20577790164543228
29,30,kenya,0.6,-2.9043877124786377,0.06666666666666665,702675571.3043798,0.22378636470066288,0.3745777312412082
30,31,kenya,1.0,-4.886946638425191,-0.19999999999999996,431859622.7324624,0.2176646620599989,0.20577790164543228
31,32,kenya,0.6,-2.9043877124786377,0.06666666666666665,702675571.3043798,0.22378636470066288,0.3745777312412082
32,33,kenya,0.6,-2.9043877124786377,0.06666666666666665,702675571.3043798,0.22378636470066288,0.3745777312412082
33,34,kenya,0.6,-2.9043877124786377,0.06666666666666665,702675571.3043798,0.22378636470066288,0.3745777312412082
34,35,kenya,0.6,-2.9043877124786377,0.06666666666666665,702675571.3043798,0.22378636470066288,0.3745777312412082
35,36,kenya,0.8,-6.926877558231354,-0.7999999999999999,342827699.0100521,0.23093912976487968,-1.0843608130435205
36,37,kenya,0.8,-6.926877558231354,-0.7999999999999999,342827699.0100521,0.23093912976487968,-1.0843608130435205
37,39,kenya,0.8,-6.926877558231354,-0.7999999999999999,342827699.0100521,0.23093912976487968,-1.0843608130435205
38,40,kenya,0.6,-2.2621418237686157,-0.5999999999999999,250357069.45264956,0.17070980063279748,0.2755955027602912
39,41,kenya,0.6,-2.2621418237686157,-0.5999999999999999,250357069.45264956,0.17070980063279748,0.2755955027602912
40,42,kenya,0.6,-2.2621418237686157,-0.5999999999999999,250357069.45264956,0.17070980063279748,0.2755955027602912
41,43,kenya,0.6,-2.2621418237686157,-0.5999999999999999,250357069.45264956,0.17070980063279748,0.2755955027602912
42,44,kenya,0.6,-2.9043877124786377,0.06666666666666665,702675571.3043798,0.22378636470066288,0.3745777312412082
43,45,kenya,0.6,-2.9043877124786377,0.06666666666666665,702675571.3043798,0.22378636470066288,0.3745777312412082
44,46,kenya,0.6,-2.9043877124786377,0.06666666666666665,702675571.3043798,0.22378636470066288,0.3745777312412082
45,47,kenya,0.6,-2.9043877124786377,0.06666666666666665,702675571.3043798,0.22378636470066288,0.3745777312412082
46,48,kenya,0.6,-2.9043877124786377,0.06666666666666665,702675571.3043798,0.22378636470066288,0.3745777312412082
47,49,kenya,0.6,-2.9043877124786377,0.06666666666666665,702675571.3043798,0.22378636470066288,0.3745777312412082
48,50,kenya,0.6,-2.9043877124786377,0.06666666666666665,702675571.3043798,0.22378636470066288,0.3745777312412082
49,51,kenya,0.6,-2.9043877124786377,0.06666666666666665,702675571.3043798,0.22378636470066288,0.3745777312412082
50,52,kenya,0.6,-2.9043877124786377,0.06666666666666665,702675571.3043798,0.22378636470066288,0.3745777312412082
51,53,kenya,0.6,-2.9043877124786377,0.06666666666666665,702675571.3043798,0.22378636470066288,0.3745777312412082
52,54,kenya,0.6,-2.9043877124786377,0.06666666666666665,702675571.3043798,0.22378636470066288,0.3745777312412082
53,55,kenya,0.6,-2.9043877124786377,0.06666666666666665,702675571.3043798,0.22378636470066288,0.3745777312412082
54,56,kenya,0.6,-2.9043877124786377,0.06666666666666665,702675571.3043798,0.22378636470066288,0.3745777312412082
55,57,kenya,0.6,-2.9043877124786377,0.06666666666666665,702675571.3043798,0.22378636470066288,0.3745777312412082
56,58,kenya,0.6,-2.9043877124786377,0.06666666666666665,702675571.3043798,0.22378636470066288,0.3745777312412082
57,59,kenya,0.6,-2.9043877124786377,0.06666666666666665,702675571.3043798,0.22378636470066288,0.3745777312412082
58,60,kenya,0.6,-3.4466355443000793,0.06666666666666665,631000008.9728962,0.2144258914894218,0.294074157929253
59,61,kenya,0.6,-3.4466355443000793,0.06666666666666665,631000008.9728962,0.2144258914894218,0.294074157929253
60,62,kenya,0.6,-3.4466355443000793,0.06666666666666665,631000008.9728962,0.2144258914894218,0.294074157929253
61,63,kenya,0.6,-3.4466355443000793,0.06666666666666665,631000008.9728962,0.2144258914894218,0.294074157929253
62,64,kenya,0.6,-3.4466355443000793,0.06666666666666665,631000008.9728962,0.2144258914894218,0.294074157929253
63,65,kenya,0.6,-3.4466355443000793,0.06666666666666665,631000008.9728962,0.2144258914894218,0.294074157929253
64,66,kenya,0.6,-3.4466355443000793,0.06666666666666665,631000008.9728962,0.2144258914894218,0.294074157929253
65,67,kenya,1.0,-4.886946638425191,-0.19999999999999996,431859622.7324624,0.2176646620599989,0.20577790164543228
66,68,kenya,1.2,-3.4173064827919006,-0.5333333333333332,385160195.50738984,0.20952260109076443,0.19823502602930837
67,69,kenya,1.2,-3.4173064827919006,-0.5333333333333332,385160195.50738984,0.20952260109076443,0.19823502602930837
68,70,kenya,1.2,-3.4173064827919006,-0.5333333333333332,385160195.50738984,0.20952260109076443,0.19823502602930837
69,71,kenya,1.0,-4.886946638425191,-0.19999999999999996,431859622.7324624,0.2176646620599989,0.20577790164543228
70,72,kenya,1.0,-4.886946638425191,-0.19999999999999996,431859622.7324624,0.2176646620599989,0.20577790164543228
71,73,kenya,1.0,-4.886946638425191,-0.19999999999999996,431859622.7324624,0.2176646620599989,0.20577790164543228
72,74,kenya,1.0,-4.886946638425191,-0.19999999999999996,431859622.7324624,0.2176646620599989,0.20577790164543228
73,75,kenya,0.6,-2.9043877124786377,0.06666666666666665,702675571.3043798,0.22378636470066288,0.3745777312412082
74,76,kenya,0.6,-2.9043877124786377,0.06666666666666665,702675571.3043798,0.22378636470066288,0.3745777312412082
75,77,kenya,0.6,-2.9043877124786377,0.06666666666666665,702675571.3043798,0.22378636470066288,0.3745777312412082
76,78,kenya,0.6,-2.9043877124786377,0.06666666666666665,702675571.3043798,0.22378636470066288,0.3745777312412082
77,79,kenya,1.0,-4.886946638425191,-0.19999999999999996,431859622.7324624,0.2176646620599989,0.20577790164543228
78,80,kenya,1.0,-4.886946638425191,-0.19999999999999996,431859622.7324624,0.2176646620599989,0.20577790164543228
79,81,kenya,1.0,-4.886946638425191,-0.19999999999999996,431859622.7324624,0.2176646620599989,0.20577790164543228
80,82,kenya,1.0,-4.886946638425191,-0.19999999999999996,431859622.7324624,0.2176646620599989,0.20577790164543228
81,83,kenya,1.0,-4.886946638425191,-0.19999999999999996,431859622.7324624,0.2176646620599989,0.20577790164543228
82,84,kenya,1.0,-4.886946638425191,-0.19999999999999996,431859622.7324624,0.2176646620599989,0.20577790164543228
83,85,kenya,1.2,-3.4173064827919006,-0.5333333333333332,385160195.50738984,0.20952260109076443,0.19823502602930837
84,86,kenya,1.2,-3.4173064827919006,-0.5333333333333332,385160195.50738984,0.20952260109076443,0.19823502602930837
85,87,kenya,1.2,-3.4173064827919006,-0.5333333333333332,385160195.50738984,0.20952260109076443,0.19823502602930837
86,88,kenya,0.6,-2.9043877124786377,0.06666666666666665,702675571.3043798,0.22378636470066288,0.3745777312412082
87,89,kenya,0.6,-3.4466355443000793,0.06666666666666665,631000008.9728962,0.2144258914894218,0.294074157929253
88,90,kenya,0.6,-3.4466355443000793,0.06666666666666665,631000008.9728962,0.2144258914894218,0.294074157929253
89,91,kenya,1.2,-3.4173064827919006,-0.5333333333333332,385160195.50738984,0.20952260109076443,0.19823502602930837
90,92,kenya,1.2,-3.4173064827919006,-0.5333333333333332,385160195.50738984,0.20952260109076443,0.19823502602930837
91,93,kenya,0.6,-2.9043877124786377,0.06666666666666665,702675571.3043798,0.22378636470066288,0.3745777312412082
92,94,kenya,0.6,-2.9043877124786377,0.06666666666666665,702675571.3043798,0.22378636470066288,0.3745777312412082
93,95,kenya,0.6,-2.9043877124786377,0.06666666666666665,702675571.3043798,0.22378636470066288,0.3745777312412082
94,98,kenya,0.6,-2.9043877124786377,0.06666666666666665,702675571.3043798,0.22378636470066288,0.3745777312412082
95,99,kenya,0.6,-2.9043877124786377,0.06666666666666665,702675571.3043798,0.22378636470066288,0.3745777312412082
96,100,kenya,0.6,-2.9043877124786377,0.06666666666666665,702675571.3043798,0.22378636470066288,0.3745777312412082
97,101,kenya,0.6,-2.9043877124786377,0.06666666666666665,702675571.3043798,0.22378636470066288,0.3745777312412082
98,102,kenya,0.6,-2.9043877124786377,0.06666666666666665,702675571.3043798,0.22378636470066288,0.3745777312412082
99,103,kenya,0.6,-2.9043877124786377,0.06666666666666665,702675571.3043798,0.22378636470066288,0.3745777312412082
100,104,kenya,0.6,-2.9043877124786377,0.06666666666666665,702675571.3043798,0.22378636470066288,0.3745777312412082
101,105,kenya,1.0,-4.886946638425191,-0.19999999999999996,431859622.7324624,0.2176646620599989,0.20577790164543228
102,106,kenya,1.0,-4.886946638425191,-0.19999999999999996,431859622.7324624,0.2176646620599989,0.20577790164543228
103,107,kenya,1.0,-4.886946638425191,-0.19999999999999996,431859622.7324624,0.2176646620599989,0.20577790164543228
104,108,kenya,1.0,-4.886946638425191,-0.19999999999999996,431859622.7324624,0.2176646620599989,0.20577790164543228
105,109,kenya,1.2,-3.4173064827919006,-0.5333333333333332,385160195.50738984,0.20952260109076443,0.19823502602930837
106,110,kenya,1.2,-3.4173064827919006,-0.5333333333333332,385160195.50738984,0.20952260109076443,0.19823502602930837
107,111,kenya,1.2,-3.4173064827919006,-0.5333333333333332,385160195.50738984,0.20952260109076443,0.19823502602930837
108,112,kenya,1.2,-3.4173064827919006,-0.5333333333333332,385160195.50738984,0.20952260109076443,0.19823502602930837
109,113,kenya,1.0,-4.886946638425191,-0.19999999999999996,431859622.7324624,0.2176646620599989,0.20577790164543228
110,114,kenya,1.0,-4.886946638425191,-0.19999999999999996,431859622.7324624,0.2176646620599989,0.20577790164543228
111,115,kenya,1.0,-4.886946638425191,-0.19999999999999996,431859622.7324624,0.2176646620599989,0.20577790164543228
112,116,kenya,1.0,-4.886946638425191,-0.19999999999999996,431859622.7324624,0.2176646620599989,0.20577790164543228
113,117,kenya,1.0,-4.886946638425191,-0.19999999999999996,431859622.7324624,0.2176646620599989,0.20577790164543228
114,118,kenya,1.0,-4.886946638425191,-0.19999999999999996,431859622.7324624,0.2176646620599989,0.20577790164543228
115,119,kenya,1.0,-4.886946638425191,-0.19999999999999996,431859622.7324624,0.2176646620599989,0.20577790164543228
116,120,kenya,1.0,-4.886946638425191,-0.19999999999999996,431859622.7324624,0.2176646620599989,0.20577790164543228
117,121,kenya,1.2,-3.4173064827919006,-0.5333333333333332,385160195.50738984,0.20952260109076443,0.19823502602930837
118,122,kenya,1.2,-3.4173064827919006,-0.5333333333333332,385160195.50738984,0.20952260109076443,0.19823502602930837
119,123,kenya,0.6,-3.4466355443000793,0.06666666666666665,631000008.9728962,0.2144258914894218,0.294074157929253
120,124,kenya,0.6,-3.4466355443000793,0.06666666666666665,631000008.9728962,0.2144258914894218,0.294074157929253
121,125,kenya,1.0,-4.886946638425191,-0.19999999999999996,431859622.7324624,0.2176646620599989,0.20577790164543228
122,127,kenya,0.6,-2.9043877124786377,0.06666666666666665,702675571.3043798,0.22378636470066288,0.3745777312412082
123,128,kenya,0.6,-2.9043877124786377,0.06666666666666665,702675571.3043798,0.22378636470066288,0.3745777312412082
124,129,kenya,0.6,-2.9043877124786377,0.06666666666666665,702675571.3043798,0.22378636470066288,0.3745777312412082
125,130,kenya,0.6,-2.9043877124786377,0.06666666666666665,702675571.3043798,0.22378636470066288,0.3745777312412082
126,131,kenya,0.6,-2.9043877124786377,0.06666666666666665,702675571.3043798,0.22378636470066288,0.3745777312412082
127,133,kenya,0.6,-2.9043877124786377,0.06666666666666665,702675571.3043798,0.22378636470066288,0.3745777312412082
128,134,kenya,0.6,-2.9043877124786377,0.06666666666666665,702675571.3043798,0.22378636470066288,0.3745777312412082
129,135,kenya,0.6,-2.9043877124786377,0.06666666666666665,702675571.3043798,0.22378636470066288,0.3745777312412082
130,136,kenya,0.6,-2.9043877124786377,0.06666666666666665,702675571.3043798,0.22378636470066288,0.3745777312412082
131,137,kenya,1.2,-3.4173064827919006,-0.5333333333333332,385160195.50738984,0.20952260109076443,0.19823502602930837
132,138,kenya,1.2,-3.4173064827919006,-0.5333333333333332,385160195.50738984,0.20952260109076443,0.19823502602930837
133,139,kenya,1.2,-3.4173064827919006,-0.5333333333333332,385160195.50738984,0.20952260109076443,0.19823502602930837
134,140,kenya,1.2,-3.4173064827919006,-0.5333333333333332,385160195.50738984,0.20952260109076443,0.19823502602930837
135,141,kenya,1.2,-3.4173064827919006,-0.5333333333333332,385160195.50738984,0.20952260109076443,0.19823502602930837
136,143,kenya,1.2,-3.4173064827919006,-0.5333333333333332,385160195.50738984,0.20952260109076443,0.19823502602930837
137,144,kenya,1.2,-3.4173064827919006,-0.5333333333333332,385160195.50738984,0.20952260109076443,0.19823502602930837
138,145,kenya,0.6,-3.4466355443000793,0.06666666666666665,631000008.9728962,0.2144258914894218,0.294074157929253
139,146,kenya,0.6,-3.4466355443000793,0.06666666666666665,631000008.9728962,0.2144258914894218,0.294074157929253
140,147,kenya,0.6,-3.4466355443000793,0.06666666666666665,631000008.9728962,0.2144258914894218,0.294074157929253
141,148,kenya,0.6,-3.4466355443000793,0.06666666666666665,631000008.9728962,0.2144258914894218,0.294074157929253
142,149,kenya,0.6,-3.4466355443000793,0.06666666666666665,631000008.9728962,0.2144258914894218,0.294074157929253
143,150,kenya,0.6,-3.4466355443000793,0.06666666666666665,631000008.9728962,0.2144258914894218,0.294074157929253
144,151,kenya,0.2,-18.457353591918945,-0.19999999999999984,421108330.57742584,0.22856255272502962,-2.4857260180162672
145,152,kenya,0.2,-18.457353591918945,-0.19999999999999984,421108330.57742584,0.22856255272502962,-2.4857260180162672
146,153,kenya,0.2,-18.457353591918945,-0.19999999999999984,421108330.57742584,0.22856255272502962,-2.4857260180162672
147,154,kenya,0.2,-18.457353591918945,-0.19999999999999984,421108330.57742584,0.22856255272502962,-2.4857260180162672
148,155,kenya,0.2,-18.457353591918945,-0.19999999999999984,421108330.57742584,0.22856255272502962,-2.4857260180162672
149,156,kenya,0.2,-18.457353591918945,-0.19999999999999984,421108330.57742584,0.22856255272502962,-2.4857260180162672
150,157,kenya,0.2,-18.457353591918945,-0.19999999999999984,421108330.57742584,0.22856255272502962,-2.4857260180162672
151,158,kenya,0.2,-18.457353591918945,-0.19999999999999984,421108330.57742584,0.22856255272502962,-2.4857260180162672
152,159,kenya,0.2,-18.457353591918945,-0.19999999999999984,421108330.57742584,0.22856255272502962,-2.4857260180162672
153,160,kenya,0.2,-18.457353591918945,-0.19999999999999984,421108330.57742584,0.22856255272502962,-2.4857260180162672
154,161,kenya,0.2,-18.457353591918945,-0.19999999999999984,421108330.57742584,0.22856255272502962,-2.4857260180162672
155,162,kenya,0.2,-18.457353591918945,-0.19999999999999984,421108330.57742584,0.22856255272502962,-2.4857260180162672
156,163,kenya,0.2,-18.457353591918945,-0.19999999999999984,421108330.57742584,0.22856255272502962,-2.4857260180162672
157,164,kenya,0.2,-18.457353591918945,-0.19999999999999984,421108330.57742584,0.22856255272502962,-2.4857260180162672
158,165,kenya,0.2,-18.457353591918945,-0.19999999999999984,421108330.57742584,0.22856255272502962,-2.4857260180162672
159,166,kenya,0.2,-18.457353591918945,-0.19999999999999984,421108330.57742584,0.22856255272502962,-2.4857260180162672
160,167,kenya,0.2,-18.457353591918945,-0.19999999999999984,421108330.57742584,0.22856255272502962,-2.4857260180162672
161,168,kenya,0.2,-18.457353591918945,-0.19999999999999984,421108330.57742584,0.22856255272502962,-2.4857260180162672
162,169,kenya,0.2,-18.457353591918945,-0.19999999999999984,421108330.57742584,0.22856255272502962,-2.4857260180162672
163,170,kenya,0.2,-18.457353591918945,-0.19999999999999984,421108330.57742584,0.22856255272502962,-2.4857260180162672
164,171,kenya,0.2,-18.457353591918945,-0.19999999999999984,421108330.57742584,0.22856255272502962,-2.4857260180162672
165,172,kenya,0.2,-18.457353591918945,-0.19999999999999984,421108330.57742584,0.22856255272502962,-2.4857260180162672
166,173,kenya,0.4,-10.152085959911346,-0.3999999999999999,646732731.0334496,0.19635583447905752,-4.271390781825375
167,174,kenya,0.4,-10.14189463853836,-0.3999999999999999,646732731.0334496,0.19688685226612057,-4.328131520723504
