department,district,commune,village,lat,long,landmark,notes
thies,thies,thies  ouest,mbour 1,,,,
mbour,,mbour,chateau d'eau,,,,
mbour,sessene,nguediene,thiarene  h2,,,,
mbour,sessene,guediene,thiarene  h2,,,,
mbour,sessene,ngediene,thiarene  h2,,,,
mbour,sessene,ngueniene,thiarene  h2,,,,
mbour,sessene,nguedienne,thiarene  h2,,,,
mbour,sessene,ngueniene,thiarene,,,,
mbour,sessene,gueniene,thiarene  h2,,,,
guediawaye,guediawaye,golf sud,cite des enseignants,,,,
guediawaye,guediawaye,ca golf sud,cite des enseignants,,,,
guediawaye,guediawaye,goolf sud,cite des enseignants,,,,
guediawaye,guediawaye,golf  sud,cite des enseignants,,,,
guediawaye,guediawaye,golf sud,parcelles ass u 4,,,,
guediawaye,gueidawaye,golf sud,parcelles ass u 4,,,,
guediawaye,guediawaye,goolf sud,parcelles ass u 4,,,,
dakar,parcelles assainies,grand yoff,arafat,,,,
dakar,parcelles assainiesg,grand yoff,arafat,,,,
guediawaye,guediawaye,golf sud,hlm las palmas,,,,
mbour,,mbour,darou salam,,,,
dakar,parcelles assainies,parcelles assainies,pa unite 11,,,,
dakar,parcelles assainies,parcelles assainies,unite 11,,,,
dakar,parcelles assainies,plles assainies,pa unite 11,,,,
dakar,parcelles assainies,parcelles assainies,parcelles assainies,,,,
dakar,grand  dakar,sicap  liberte,liberte 1,,,,
dakar,grand dakar,sicap liberte,liberte 1,,,,
dakar,grand  dakar,sicap liberte,liberte  1,,,,
dakar,grand  dakar,sicap  liberte,liberte  1,,,,
dakar,grand  dakar,sicap liberte  1,liberte  1,,,,
dakar,grand  dakar,sicap liberte,liberte 1,,,,
dakar,grand  dakar,sicap liberte 1,liberte 1,,,,
dakar,grand dakar,sicap liberte,sicap  liberte 1,,,,
dakar,grand  dakar,sicap liberte,liberte  i,,,,
dakar,grand  dakar,sicap liberte,liberte,,,,
dakar,grand  dakar,sicap liberte,liberte i,,,,
dakar,grand dakar,sicap liberte,saicap liberte i,,,,
dakar,grand dakar,hlm,hlm 5,,,,
dakar,grand dakar,hlm,hlm5,,,,
dakar,grand dakar,hlm 5,hlm 5,,,,
pikine,pikine  dagoudane,guinaw rail,samba  niang,,,,
pikine,pikine dagoudane,guinaw rail,samba niang,,,,
pikine,pikine  dagoudane,guinaw rails,samba  niang,,,,
pikine,pikine dagoudane,guinaw rail sud,samba niang,,,,
pikine,pikine  dagoudane,guinaw rails,samba niang,,,,
pikine,pikine dagoudane,guinaw rail sud,samba  niang,,,,
pikine,pikine dagoudane,guinaw  rail,samba  niang,,,,
pikine,pikine  dagoudane,guinaw rail sud,samba  niang,,,,
pikine,pikine  dagoudane,guinaw rail  sud,samba  niang,,,,
pikine,pikine  dagougane,guinaw rail sud,samba niang,,,,
pikine,pikine  dagoudane,guinaw rails sud,samba  niang,,,,
pikine,pikine  dagoudane,guinaw  rails,samba  niang,,,,
pikine,pikine dagoudane,guinaw rail  sud,samba niang,,,,
pikine,pikine dagoudane,guinaw  rails sud,samba niang,,,,
pikine,pikine  dagoudane,guinaw rail,samba niang,,,,
pikine,pikine  dagounane,pikine  ouest,cite icotaf,,,,
pikine,pikine dagoudane,pikine ouest,cite  icotaf,,,,
pikine,pikine dagoudane,pikine ouest,cite icotaf,,,,
pikine,pikine dagoudane,pikine  ouest,cite  icotaf,,,,
pikine,pikine  dagoudane,pikine ouest,cite icotaf,,,,
pikine,pikine  dagoudane,pikine ouest,cite  icotaf,,,,
pikine,pikine dagoune,pikine ouest,cite icotaf,,,,
pikine,pilkine dagoudane,pikine ouest,cite icotaf,,,,
pikine,pilkine  dagoudane,pikine ouest,cite  icotaf,,,,
pikine,pikine  dagoudane,pikine  ouest,cite  icotaf,,,,
pikine,pikine  dagoudane,pikine  ouest,cite  ouest,,,,
pikine,pikine dagoudane,pikine  ouest,cite icotaf,,,,
dakar,grand dakar,hlm,hlm 4,,,,
rufisque,rufisque,rufisque ouest,diokoul kaw,,,,
rufisque,rufisque ouest,rufisque ouest,diokoul kaw,,,,
rufisque,,rufisque oues,diokoul kaw,,,,
rufisque,,rufisque ouest,diokoul kaw,,,,
rufisque,rufisque ouest,rufisque,diokoul kaw,,,,
rufisque,sangalkam,sangalkam,niagha ouolof,,,,
rufisque,rufisque,sangalkam,niagha ouolof,,,,
rufisque,rufisque,sangalkam,niagha wolof,,,,
dakar,grand dakar,hlm,hlm4,,,,
mbour,,mbour,tefess,,,,
tiwaouane,,tivaouane,ndiandakhoune,,,,
tiwaouane,,tivaouane,ndiandiakhoune,,,,
tiwaouane,,tivaouane,ndiantakhoune,,,,
tiwaouane,,tivaoune,ndiandiakhoune,,,,
tiwaouane,,tivaoune,ndiandakhoune,,,,
tiwaouane,tivaouane,tivaouane,ndiandakhoune,,,,
tiwaouane,merina dakhar,koul,khandane,,,,
tiwaouane,merina dakhar,koul,khandame,,,,
tiwaouane,merina dakar,koul,khandame,,,,
tiwaouane,merian dakhar,koul,khandane,,,,
foundiougne,,gossas,keur el hadji,,,,
gossas,,gossas,keur el hadji,,,,
gossas,,gossas,keur el hadj,,,,
diourbel,,diourbel,medinatoul est,,,,
diourbel,,diourbel,medinatoul,,,,
diourbel,,diourbel,madinatoul,,,,
diourbel,,dioubel,medinatoul,,,,
mbacke,ndame,touba mosquee,guede bousso,,,,
mbacke,ndame,touba mosquee,gude bousso,,,,
nioro,ndame,touba mosquee,guede bousso,,,,
mbacke,ndame,touba mosquee,guede,,,,
bambeye,ndame,touba mosquee,guede bousso,,,,
foundiougne,djilor,passy,escale,,,,
foundiougne,,passy,passy,,,,
foundiougne,,passy,escale,,,,
foundiougne,,passy,passy leona,,,,
foundiougne,djiolor,passy,passy leona,,,,
foundiougne,,passy,passy escale,,,,
foundiougne,djilor,passy,passy leona,,,,
diourbel,,diourbel,,,,,
diourbel,,diourbel,medinatoul  ouest,,,,
bambeye,,diourbel,medinatoul,,,,
diourbel,,diourbel,medinatoul nord,,,,
fatick,niakhar,patar,baredji de diane,,,,
fatick,niakhar,patar,beredji de diane,,,,
fatick,niakhar,patar,belky,,,,
fatick,niakhar,patar,belky de diane,,,,
fatick,niakhar,patar,belky diane,,,,
fatick,niakhar,patar,berefji de diane,,,,
fatick,niakhar,patar,beredji de diame,,,,
bambeye,,bambey,leona  sud,,,,
bambeye,,bambey,leona,,,,
bambeye,,bambey,leona sud,,,,
bambeye,,bambey,bambey,,,,
bambeye,babagarage,dinguiraye,baridian,,,,
bambeye,babagarage,diguiraye,baridian,,,,
bambeye,baba garage,dinguiraye,paye  baridian,,,,
bambeye,babagarage,dinguiraye,paye  baridian,,,,
bambeye,babagarage,dinguiraye,ndiayalla,,,,
bambeye,babaragage,dinguiraye,baridian,,,,
bambeye,babagarage,dinguiraye,paye baridian,,,,
bambeye,baba garage,dinguiraye,pape  baridian,,,,
bambeye,baba garage,dinguiraye,paye baridian,,,,
bambeye,baragarage,dinguiraye,baridian,,,,
kebemer,,louga,madina,,,,
kebemer,,kebemer,medina,,,,
louga,koki,ndiagne,nianguene ndiagne,,,,
louga,koki,ndiagne,nianguene  ndiagne,,,,
louga,koki,ndiagne,ndieuk,,,,
louga,koki,ndiagne,mbodjiene,,,,
louga,koki,diagne,ndiagne,,,,
louga,coki,ndiagne,nianguene  ndiagne,,,,
louga,coki,ndiagne,ndianguene  ndiagne,,,,
louga,koki,ndiagne,nienguene  ndiagne,,,,
louga,koki,ndiagne,nianguene   ndiaye,,,,
louga,coki,ndiagne,nianguene  ndiague,,,,
louga,koki,ndiagne,ndiagne,,,,
louga,,louga,keur  serigne  louga,,,,
louga,,louga,keur serigne louga,,,,
louga,,louga,artillerie,,,,
louga,,louga,artellerie,,,,
kebemer,,louga,artillerie,,,,
louga,,louga,antillerie,,,,
diourbel,,louga,keur  serigne  louga,,,,
louga,,louga,keur serigne louga s,,,,
louga,,louga,montagne,,,,
louga,,louga,santhia centre,,,,
