department,district,commune,village,lat,long,landmark,notes
sedhiou,bogol,bogol,sare babou,,,,
sedhiou,bogal,bogal,boufaraghore,,,,
sedhiou,bogal,bogal,boufaraghor,,,,
sedhiou,bogal,bogal,boufaradong,,,,
sedhiou,bogal,bogal,badending doulo,,,,
sedhiou,bogal,bogal,sare seny diallo,,,,
sedhiou,bocal,bocal,sare  demba,,,,
sedhiou,bogol,bogol,boufaraghor,,,,
sedhiou,bogal,bogal,sare seiny diallo,,,,
sedhiou,bogal,bogal,badeding,,,,
sedhiou,bogal,bogal,badinding doulo,,,,
sedhiou,bogal,bogal,bougna samba diallo,,,,
st-louis,,saint louis,pikine,,,,
st-louis,,saint  louis,pikine,,,,
st-louis,,st louis,pikine,,,,
st-louis,,siant louis,pikine,,,,
st-louis,,st louis,sor nord,,,,
st-louis,,saint louis,sor nord,,,,
st-louis,,saint  louis,sor  nord,,,,
st-louis,,saint louis,sor  nord,,,,
st-louis,saint  louis,saint  louis,sor  nord,,,,
podor,thille  boubacar,fanaye,yetarre,,,,
podor,thille  boubacar,fanaye,yelitane,,,,
podor,thille boubacar,fanaye,fanaye,,,,
podor,thilli boubacar,fanaye,fanaye,,,,
podor,thille boubacar,fanaye,yelitare,,,,
podor,thille  boubacar,fanaye,fanaye,,,,
podor,thielle boubacar,fanaye,yelitare,,,,
podor,thiella  babacar,fanaye,fanaye,,,,
podor,thielle boubacar,fanaye,fanaye,,,,
podor,gamadji   sare,dodele,dodele,,,,
podor,gamadji  sare,dodele,dodele,,,,
podor,gamadji   sare,dodele,dolele,,,,
podor,gamadji  sare,dolele,dolele,,,,
podor,gamadji sare,dolele,dolele,,,,
podor,gamadji  sare,dodele,dodel,,,,
podor,gamadji  sare,dodele,dolele,,,,
podor,gamadji sare,dodele,dodele,,,,
podor,gamadji sare,dolele,dodele,,,,
st-louis,gamadji sare,dodele,dodele,,,,
podor,cas cas,mery,sourboty  mery,,,,
podor,cas cas,mery,sourboti,,,,
podor,cas cas,mery,mery,,,,
podor,cas  cas,mery,mery,,,,
podor,cas cas,mery,ndiouganabe  mery,,,,
podor,cas  cas,mery,sourboty,,,,
podor,cas  cas,mery,ndiouganabe,,,,
podor,cas  cas,mery,ndianganabe,,,,
podor,cas  cas,mery,sourboti,,,,
podor,cas cas,mery,ndiouganabe mery,,,,
podor,cas cas,mery,ndiouganabe,,,,
podor,,gollere,namaye,,,,
podor,,gollere,fanaye,,,,
podor,,ndiandane,ndiorna,,,,
podor,,ndiandame,ndiorna,,,,
podor,,ndiadane,ndiorna,,,,
podor,,ndiandane,ndiarno,,,,
podor,,niandane,ndiorna,,,,
dagana,,gae,bouleydi,,,,
st-louis,,gae,bouleydji,,,,
st-louis,,gae,bouleydi,,,,
guediawaye,guediawaye,golf  sud,parcelles   unit  4,,,,
dakar,almadies,dakar,sacre coeur 1,,,,
dakar,almadies,dakar,sacre coeur      1,,,,
dakar,gr dakar,sicap liberte,liberte 3,,,,
dakar,grand dakar,sicap liberte,liberte 3,,,,
dakar,grd dakar,sicap liberte 3,liberte 3,,,,
dakar,grd dakar,dieuppeul derkle,dieuppeul 1,,,,
pikine,thiaroye,thiaroye gare,cite rochette,,,,
pikine,thiaroye,thiaroye gare,cite la rochette,,,,
dakar,grd dkr,dieupeul derkle,castor 1,,,,
dakar,grd dakar,dakar,sacre coeur 3,,,,
dakar,grand dakar,dieuppeul drekle,castor 1,,,,
dakar,grand dakar,dieuppeul derkle,castor 1,,,,
dakar,grand dkr,sicap,liberte 6,,,,
dakar,grd dkr,sicap liberte,liberte 6,,,,
dakar,gd dakar,sicap liberte,liberte 6,,,,
dakar,grand dakar,fann point e,zone b batiment,,,,
dakar,gr dakar,fann point e,zone b batiment,,,,
dakar,grd dakar,sicap liberte,sacre coeur 3,,,,
dakar,grd dakar,dieuppeul liberte,dieuppeul 1,,,,
dakar,grd dakar,dieuppeul derkle,dieuppeul,,,,
dakar,grand dkar,fann point e,zone b batiement,,,,
dakar,grd dakar,dakar,sacre coeur,,,,
pikine,thiaroye,thiaroye  gare,cite rochette,,,,
dakar,grd dkr,sicap liberte,liberte 3,,,,
kebemer,sagata,kanene ndiob,nguene seye,,,,
