,house,date,district,census_tract,country,hh_size,migrant_num,wealth_index,remit,lat,long,lat_SPEI,long_SPEI,pop_cent_lat,pop_cent_long,intensity,magnitude,duration,frequency,severity,dispersion,area,NDVI_mean,SVI_severity
0,1,2010-02-22,kampala,busabala road d,senegal,2,1,3.0017660760606,0.0,0.276867,32.57624,0.3,32.6,0.255971561,32.59039133,-1.7020443479220073,-1.8041805525620778,2.5833333333333335,0.7,-4.562074343363444,-0.41428571428571426,424297471.94758606,0.25951734544771277,-0.22883964649912392
1,2,2010-02-22,kampala,busabala road d,senegal,1,0,3.20415828498991,,0.276867,32.57624,0.3,32.6,0.255971561,32.59039133,-1.7020443479220073,-1.8041805525620778,2.5833333333333335,0.7,-4.562074343363444,-0.41428571428571426,424297471.94758606,0.25951734544771277,-0.22883964649912392
2,3,2010-02-22,kampala,busabala road d,senegal,3,2,3.26792957093286,1.0,0.276867,32.57624,0.3,32.6,0.255971561,32.59039133,-1.7020443479220073,-1.8041805525620778,2.5833333333333335,0.7,-4.562074343363444,-0.41428571428571426,424297471.94758606,0.25951734544771277,-0.22883964649912392
3,4,2010-02-22,kampala,busabala road d,senegal,3,1,3.88018108866505,1.0,0.276867,32.57624,0.3,32.6,0.255971561,32.59039133,-1.7020443479220073,-1.8041805525620778,2.5833333333333335,0.7,-4.562074343363444,-0.41428571428571426,424297471.94758606,0.25951734544771277,-0.22883964649912392
4,5,2010-02-22,kampala,busabala road d,senegal,1,1,2.69778851089632,1.0,0.276867,32.57624,0.3,32.6,0.255971561,32.59039133,-1.7020443479220073,-1.8041805525620778,2.5833333333333335,0.7,-4.562074343363444,-0.41428571428571426,424297471.94758606,0.25951734544771277,-0.22883964649912392
5,6,2010-02-22,kampala,busabala road d,senegal,1,1,3.16124191293422,0.0,0.276867,32.57624,0.3,32.6,0.255971561,32.59039133,-1.7020443479220073,-1.8041805525620778,2.5833333333333335,0.7,-4.562074343363444,-0.41428571428571426,424297471.94758606,0.25951734544771277,-0.22883964649912392
6,7,2010-02-22,kampala,busabala road d,senegal,2,0,2.81788960437273,,0.276867,32.57624,0.3,32.6,0.255971561,32.59039133,-1.7020443479220073,-1.8041805525620778,2.5833333333333335,0.7,-4.562074343363444,-0.41428571428571426,424297471.94758606,0.25951734544771277,-0.22883964649912392
7,8,2010-02-22,kampala,busabala road d,senegal,3,0,2.83542527997348,,0.276867,32.57624,0.3,32.6,0.255971561,32.59039133,-1.7020443479220073,-1.8041805525620778,2.5833333333333335,0.7,-4.562074343363444,-0.41428571428571426,424297471.94758606,0.25951734544771277,-0.22883964649912392
8,9,2010-02-22,kampala,busabala road d,senegal,2,1,4.19169226427388,0.0,0.276867,32.57624,0.3,32.6,0.255971561,32.59039133,-1.7020443479220073,-1.8041805525620778,2.5833333333333335,0.7,-4.562074343363444,-0.41428571428571426,424297471.94758606,0.25951734544771277,-0.22883964649912392
9,10,2010-02-22,kampala,busabala road d,senegal,2,1,3.16124191293422,0.0,0.276867,32.57624,0.3,32.6,0.255971561,32.59039133,-1.7020443479220073,-1.8041805525620778,2.5833333333333335,0.7,-4.562074343363444,-0.41428571428571426,424297471.94758606,0.25951734544771277,-0.22883964649912392
10,11,2010-02-19,kampala,ssebalijja zone b,senegal,3,2,3.58418352577131,0.0,0.31136,32.56829,0.3,32.55,0.322981339,32.59039133,-1.711283802986145,-1.8317708770434062,2.8333333333333335,0.7,-4.993715435266495,-0.41428571428571426,414464098.0692692,0.26206330470240874,-1.32361112990673
11,12,2010-02-19,kampala,ssebalijja zone b,senegal,4,0,3.13263099823042,,0.31136,32.56829,0.3,32.55,0.322981339,32.59039133,-1.711283802986145,-1.8317708770434062,2.8333333333333335,0.7,-4.993715435266495,-0.41428571428571426,414464098.0692692,0.26206330470240874,-1.32361112990673
12,13,2010-02-19,kampala,ssebalijja zone b,senegal,2,1,2.61195576678493,0.0,0.31136,32.56829,0.3,32.55,0.322981339,32.59039133,-1.711283802986145,-1.8317708770434062,2.8333333333333335,0.7,-4.993715435266495,-0.41428571428571426,414464098.0692692,0.26206330470240874,-1.32361112990673
13,14,2010-02-19,kampala,ssebalijja zone b,senegal,2,1,3.6137952034208,0.0,0.31136,32.56829,0.3,32.55,0.322981339,32.59039133,-1.711283802986145,-1.8317708770434062,2.8333333333333335,0.7,-4.993715435266495,-0.41428571428571426,414464098.0692692,0.26206330470240874,-1.32361112990673
14,15,2010-02-19,kampala,ssebalijja zone b,senegal,5,0,3.43397622357638,,0.31136,32.56829,0.3,32.55,0.322981339,32.59039133,-1.711283802986145,-1.8317708770434062,2.8333333333333335,0.7,-4.993715435266495,-0.41428571428571426,414464098.0692692,0.26206330470240874,-1.32361112990673
15,17,2010-02-19,kampala,ssebalijja zone b,senegal,3,4,3.83726471660935,0.0,0.31136,32.56829,0.3,32.55,0.322981339,32.59039133,-1.711283802986145,-1.8317708770434062,2.8333333333333335,0.7,-4.993715435266495,-0.41428571428571426,414464098.0692692,0.26206330470240874,-1.32361112990673
16,18,2010-02-19,kampala,ssebalijja zone b,senegal,4,2,3.57989188856574,0.0,0.31136,32.56829,0.3,32.55,0.322981339,32.59039133,-1.711283802986145,-1.8317708770434062,2.8333333333333335,0.7,-4.993715435266495,-0.41428571428571426,414464098.0692692,0.26206330470240874,-1.32361112990673
17,19,2010-02-19,kampala,ssebalijja zone b,senegal,4,1,3.07540916882282,0.0,0.31136,32.56829,0.3,32.55,0.322981339,32.59039133,-1.711283802986145,-1.8317708770434062,2.8333333333333335,0.7,-4.993715435266495,-0.41428571428571426,414464098.0692692,0.26206330470240874,-1.32361112990673
18,20,2010-01-19,kampala,ssebalijja zone b,senegal,2,5,2.89528581047947,1.0,0.31136,32.56829,0.3,32.55,0.322981339,32.59039133,-1.711283802986145,-1.8317708770434062,2.8333333333333335,0.7,-4.993715435266495,-0.41428571428571426,414464098.0692692,0.26206330470240874,-1.32361112990673
19,21,2010-02-18,kampala,kizungu zone a,senegal,5,0,1.24740402622381,1.0,0.27584,32.59018,0.3,32.6,0.255971561,32.59039133,-1.7020443479220073,-1.8041805525620778,2.5833333333333335,0.7,-4.562074343363444,-0.41428571428571426,424297471.94758606,0.25951734544771277,-0.22883964649912392
20,22,2010-02-15,kampala,kizungu zone a,senegal,2,1,3.90879200336884,0.0,0.27584,32.59018,0.3,32.6,0.255971561,32.59039133,-1.7020443479220073,-1.8041805525620778,2.5833333333333335,0.7,-4.562074343363444,-0.41428571428571426,424297471.94758606,0.25951734544771277,-0.22883964649912392
21,23,2010-02-18,kampala,kizungu zone a,senegal,15,1,2.71465616607694,1.0,0.27584,32.59018,0.3,32.6,0.255971561,32.59039133,-1.7020443479220073,-1.8041805525620778,2.5833333333333335,0.7,-4.562074343363444,-0.41428571428571426,424297471.94758606,0.25951734544771277,-0.22883964649912392
22,24,2010-02-18,kampala,kizungu zone a,senegal,4,1,2.43438713483976,0.0,0.27584,32.59018,0.3,32.6,0.255971561,32.59039133,-1.7020443479220073,-1.8041805525620778,2.5833333333333335,0.7,-4.562074343363444,-0.41428571428571426,424297471.94758606,0.25951734544771277,-0.22883964649912392
23,25,2010-02-18,kampala,kizungu zone a,senegal,5,0,3.57703079709536,,0.27584,32.59018,0.3,32.6,0.255971561,32.59039133,-1.7020443479220073,-1.8041805525620778,2.5833333333333335,0.7,-4.562074343363444,-0.41428571428571426,424297471.94758606,0.25951734544771277,-0.22883964649912392
24,26,2010-02-18,kampala,kizungu zone a,senegal,6,2,-0.728916391615514,0.0,0.27584,32.59018,0.3,32.6,0.255971561,32.59039133,-1.7020443479220073,-1.8041805525620778,2.5833333333333335,0.7,-4.562074343363444,-0.41428571428571426,424297471.94758606,0.25951734544771277,-0.22883964649912392
25,27,2010-02-18,kampala,kizungu zone a,senegal,5,0,3.58724898091815,,0.27584,32.59018,0.3,32.6,0.255971561,32.59039133,-1.7020443479220073,-1.8041805525620778,2.5833333333333335,0.7,-4.562074343363444,-0.41428571428571426,424297471.94758606,0.25951734544771277,-0.22883964649912392
26,28,2010-02-18,kampala,kizungu zone a,senegal,3,0,3.11832554087852,,0.27584,32.59018,0.3,32.6,0.255971561,32.59039133,-1.7020443479220073,-1.8041805525620778,2.5833333333333335,0.7,-4.562074343363444,-0.41428571428571426,424297471.94758606,0.25951734544771277,-0.22883964649912392
27,29,2010-02-18,kampala,kizungu zone a,senegal,5,2,3.57703079709536,0.0,0.27584,32.59018,0.3,32.6,0.255971561,32.59039133,-1.7020443479220073,-1.8041805525620778,2.5833333333333335,0.7,-4.562074343363444,-0.41428571428571426,424297471.94758606,0.25951734544771277,-0.22883964649912392
28,30,2010-02-18,kampala,kizungu zone a,senegal,5,1,3.53685011221948,0.0,0.27584,32.59018,0.3,32.6,0.255971561,32.59039133,-1.7020443479220073,-1.8041805525620778,2.5833333333333335,0.7,-4.562074343363444,-0.41428571428571426,424297471.94758606,0.25951734544771277,-0.22883964649912392
29,31,2010-02-15,manafwa,kaboole/butinga,senegal,4,1,-0.163884677753636,1.0,0.88334,34.42642,0.9,34.45,0.935776158,34.21127757,-1.570342481136322,-1.6136495641299657,1.4285714285714286,0.9,-2.2617234757968356,-0.4555555555555555,327198437.60507476,0.184715876964694,-0.2719570853291217
30,32,2010-02-15,manafwa,kaboole/butinga,senegal,3,0,-1.06362067748632,,0.88334,34.42642,0.9,34.45,0.935776158,34.21127757,-1.570342481136322,-1.6136495641299657,1.4285714285714286,0.9,-2.2617234757968356,-0.4555555555555555,327198437.60507476,0.184715876964694,-0.2719570853291217
