,house,department,census_tract,country,hh_size,migrant_num,wealth_index,remit,lat,long,lat_SPEI,long_SPEI,NDVI_lat,NDVI_lon,sev_lat,sev_lon,pop_cent_lat,pop_cent_long,annual_frequency,severity,autocorrelation,avg_area,NDVI_mean,SVI_severity
991,447,dakar,arafat,senegal,12,1,-0.900375169570198,1.0,14.71105977,-17.4688686,14.7,-17.45,14.75,-17.399999999999977,14.7,-17.45,14.72094534,-17.45998489,0.0,0.0,,0.0,0.10321838162254962,0.0
992,1207,mbacke,madiyana,senegal,5,1,2.64265455123405,1.0,14.9198,-15.8823,14.9,-15.9,14.9,-15.9,14.9,-15.9,14.85551526,-15.88108409,0.2,-0.08550119400024414,-0.017372881355932165,51273248.72292103,0.19461162034722757,1.1159896921192425
993,1265,mbacke,khayra,senegal,8,0,0.748127732046187,,14.823157881171742,-15.90761198,14.8,-15.9,14.8,-15.9,14.8,-15.9,14.81724179,-15.88108409,0.2,-0.05189633369445801,-0.017372881355932165,51273248.72292103,0.20399174551883192,1.4760591207788578
994,750,diourbel,medinatoul,senegal,13,2,0.197422741717636,1.0,14.73727345,-16.24237956,14.75,-16.25,14.75,-16.25,14.75,-16.25,14.74391863,-16.24558632,0.6,-0.10762508710225423,-0.05394736842105261,31176687.815020725,0.20483748686068534,0.5399579170663624
995,684,tiwaouane,ndiandiakhoune,senegal,10,1,1.94595329224392,1.0,,,,,,,,,14.72402296,-17.45998489,,,,,,
996,967,louga,keur serigne louga,senegal,7,3,1.3203757589469,1.0,15.60644218,-16.23380986,15.6,-16.25,15.6,-16.25,15.6,-16.25,15.6680352,-16.23192106,0.6,-0.1900880734125773,-0.053947368421052584,28501873.80910297,0.18259478582825714,0.6809931261691761
997,803,bambeye,guede bousso,senegal,5,1,0.800946246918867,1.0,14.89820198,-15.86724177,14.9,-15.85,14.9,-15.85,14.9,-15.85,14.85551526,-15.88108409,0.2,-0.07816660404205322,-0.017372881355932165,51273248.72292103,0.20386394091844515,1.118278952814868
998,202,dakar,ouagou niayes 2,senegal,7,0,1.46414959978516,,14.70737,-17.449,14.7,-17.45,14.75,-17.399999999999977,14.7,-17.45,14.72094534,-17.45998489,0.0,0.0,,0.0,0.10321838162254962,0.0
999,1208,mbacke,madiyana,senegal,21,4,0.522678427377733,1.0,14.9198,-15.8823,14.9,-15.9,14.9,-15.9,14.9,-15.9,14.85551526,-15.88108409,0.2,-0.08550119400024414,-0.017372881355932165,51273248.72292103,0.19461162034722757,1.1159896921192425
1000,1565,matam,mango,senegal,7,2,1.93301060296294,1.0,15.60094582,-13.322622,15.6,-13.3,15.6,-13.3,15.6,-13.3,15.6680352,-13.36263999,0.5,-0.13515400886535645,0.1641304347826087,111836794.61446433,0.15589057205914544,0.05905084681770404
1001,7,dakar,grand medine,senegal,6,0,2.24898639589926,1.0,14.74795,-17.44715,14.75,-17.45,15.599999999999994,-16.599999999999966,14.75,-17.45,14.74391863,-17.45998489,0.0,0.0,,0.0,0.17322358038168276,0.0
1002,798,mbacke,guede bousso,senegal,11,1,1.77769833159114,1.0,14.89820198,-15.86724177,14.9,-15.85,14.9,-15.85,14.9,-15.85,14.85551526,-15.88108409,0.2,-0.07816660404205322,-0.017372881355932165,51273248.72292103,0.20386394091844515,1.118278952814868
1003,343,thies,mbour i,senegal,13,1,1.36955797821463,1.0,14.68562239,-17.45034661,14.7,-17.45,14.75,-17.399999999999977,14.7,-17.45,14.66195934,-17.45998489,0.0,0.0,,0.0,0.10321838162254962,0.0
1004,518,dakar,liberte 1,senegal,5,0,2.68373362126443,,14.71053471,-17.46092585,14.7,-17.45,14.75,-17.399999999999977,14.7,-17.45,14.72094534,-17.45998489,0.0,0.0,,0.0,0.10321838162254962,0.0
1005,4058,dakar,liberte 3,senegal,3,1,2.7423025376168,1.0,14.71592245,-17.45517723,14.7,-17.45,14.75,-17.399999999999977,14.7,-17.45,14.72094534,-17.45998489,0.0,0.0,,0.0,0.10321838162254962,0.0
1006,1296,mbacke,mbacke khewar,senegal,4,1,0.758327392946039,1.0,14.80411689,-15.91020024,14.8,-15.9,14.8,-15.9,14.8,-15.9,14.81724179,-15.88108409,0.2,-0.05189633369445801,-0.017372881355932165,51273248.72292103,0.20399174551883192,1.4760591207788578
1007,1549,kanel,yirla,senegal,8,1,1.39028425022914,1.0,15.60553632,-13.18272101,15.6,-13.2,15.6,-13.2,15.6,-13.2,15.6680352,-13.36263999,0.7,-0.12521563257489884,0.0882111251580278,81725579.18587175,0.14952725883900342,0.09083468015744176
1008,17,dakar,grand medine irregul,senegal,1,0,-0.434438355454812,,14.74795,-17.44715,14.75,-17.45,15.599999999999994,-16.599999999999966,14.75,-17.45,14.74391863,-17.45998489,0.0,0.0,,0.0,0.17322358038168276,0.0
1009,978,louga,keur serigne louga,senegal,7,0,0.583575042752568,,15.60644218,-16.23380986,15.6,-16.25,15.6,-16.25,15.6,-16.25,15.6680352,-16.23192106,0.6,-0.1900880734125773,-0.053947368421052584,28501873.80910297,0.18259478582825714,0.6809931261691761
1010,1422,matam,moderne ii,senegal,16,0,0.63147619825142,,15.61359152,-13.32345921,15.6,-13.3,15.6,-13.3,15.6,-13.3,15.6680352,-13.36263999,0.5,-0.13515400886535645,0.1641304347826087,111836794.61446433,0.15589057205914544,0.05905084681770404
1011,723,gossas,keur el hadji,senegal,23,1,1.59516331654191,0.0,14.49623916,-16.0640894,14.5,-16.05,14.5,-16.05,14.5,-16.05,14.50274052,-16.09656209,0.3,-0.3640608787536621,-0.026282051282051227,31678417.24061081,0.20945855130433735,1.06774734310703
1012,29,dakar,ngaparou,senegal,9,1,1.97183867080589,1.0,14.46352,-17.05669,14.45,-17.05,14.5,-17.049999999999983,14.45,-17.05,14.47252629,-16.98407509,0.0,0.0,,0.0,0.19071442915809753,0.0
1013,619,rufisque,diokoul kaw,senegal,6,1,2.01843235221743,0.0,14.71694283,-17.29013219,14.7,-17.3,14.75,-17.299999999999983,14.7,-17.3,14.72094534,-17.34454455,0.0,0.0,,0.0,0.17750546042067583,0.0
1014,840,diourbel,medinatoul,senegal,8,2,1.33072991037169,1.0,14.73727345,-16.24237956,14.75,-16.25,14.75,-16.25,14.75,-16.25,14.74391863,-16.24558632,0.6,-0.10762508710225423,-0.05394736842105261,31176687.815020725,0.20483748686068534,0.5399579170663624
1015,1240,mbacke,darou khoudoss,senegal,7,0,1.3203757589469,,14.8653417,-15.87905597,14.85,-15.9,14.85,-15.9,14.85,-15.9,14.85551526,-15.88108409,0.2,-0.0784650444984436,-0.017372881355932165,51273248.72292103,0.19146692691239867,1.3605905971575065
1016,309,dakar,dieupeul 1,senegal,10,1,1.11808917430743,1.0,14.71807,-17.45718,14.7,-17.45,14.75,-17.399999999999977,14.7,-17.45,14.72094534,-17.45998489,0.0,0.0,,0.0,0.10321838162254962,0.0
1017,780,diourbel,medinatoul,senegal,11,3,0.38923349470317,1.0,14.73727345,-16.24237956,14.75,-16.25,14.75,-16.25,14.75,-16.25,14.74391863,-16.24558632,0.6,-0.10762508710225423,-0.05394736842105261,31176687.815020725,0.20483748686068534,0.5399579170663624
1018,489,mbour,darou salam,senegal,6,4,2.07168227383061,1.0,15.44284137,-14.05528102,15.45,-14.05,15.45,-14.05,15.45,-14.05,15.38130032,-14.01712506,0.4,-0.1441483497619629,-0.03534482758620688,27289358.567014486,0.188459256278507,0.9097120513365757
1019,1014,louga,keur serigne louga,senegal,11,2,1.86312008084563,1.0,15.60644218,-16.23380986,15.6,-16.25,15.6,-16.25,15.6,-16.25,15.6680352,-16.23192106,0.6,-0.1900880734125773,-0.053947368421052584,28501873.80910297,0.18259478582825714,0.6809931261691761
1020,1908,podor,mery,senegal,31,4,0.609394445560319,1.0,16.42777753,-14.09801568,16.45,-14.1,16.45,-14.1,16.45,-14.1,16.42033799,-14.01712506,0.7,-0.23870919431958879,-0.06349557522123894,104756528.70799151,0.14370735024395268,-0.259929199641225
1021,1889,podor,dodele,senegal,10,2,-1.36986446511465,0.0,16.50354464,-14.42019001,16.5,-14.4,16.5,-14.4,16.5,-14.4,16.47147469,-14.56250057,0.6,-0.24459272623062134,-0.05394736842105261,121790383.67420365,0.140562526178416,0.23738002130827204
1022,1112,kaolack,sara ndiougary,senegal,13,0,1.15885662327889,,,,,,,,,,14.72402296,-17.45998489,,,,,,
1023,882,bambeye,leona sud,senegal,6,0,1.97183867080589,,14.69755622,-16.45053577,14.7,-16.45,14.7,-16.45,14.7,-16.45,14.72094534,-16.45109143,0.6,-0.16170440117518106,-0.05394736842105261,31176687.815020725,0.2081484285400859,0.4561273300078255
1024,949,louga,mbodjiene,senegal,17,1,-0.0448243344207881,1.0,14.23001387,-16.86834878,14.25,-16.85,14.299999999999997,-16.849999999999966,14.25,-16.85,14.22169871,-16.92877566,0.6,0.0,-0.0451754385964912,153731.54419127043,0.22052067164463318,0.44016050605177814
1025,830,diourbel,medinatoul,senegal,7,0,1.93301060296294,,14.73727345,-16.24237956,14.75,-16.25,14.75,-16.25,14.75,-16.25,14.74391863,-16.24558632,0.6,-0.10762508710225423,-0.05394736842105261,31176687.815020725,0.20483748686068534,0.5399579170663624
1026,1003,louga,artillerie,senegal,7,0,1.04378678400711,,15.62705619,-16.2230668,15.65,-16.2,15.65,-16.2,15.65,-16.2,15.6680352,-16.23192106,0.5,-0.20137252807617187,-0.04456521739130433,31439893.328834556,0.1813481814217169,0.4195682598965685
1027,454,dakar,arafat,senegal,14,1,1.84241177799606,1.0,14.71105977,-17.4688686,14.7,-17.45,14.75,-17.399999999999977,14.7,-17.45,14.72094534,-17.45998489,0.0,0.0,,0.0,0.10321838162254962,0.0
