,house,date,district,census_tract,country,hh_size,migrant_num,wealth_index,remit,lat,long,lat_SPEI,long_SPEI,pop_cent_lat,pop_cent_long,intensity,magnitude,duration,frequency,severity,dispersion,area,NDVI_mean,SVI_severity
21,23,2/18/2010,kampala,kizungu zone a,uganda,15,1,2.714656166,1,0.27584,32.59018,0.3,32.6,0.255971561,32.59039133,-1.699814469,-1.772027269,2.125,1,-3.82221806,-0.6,435975283.3422004,0.26081066048879575,-0.279583928
22,24,2/18/2010,kampala,kizungu zone a,uganda,4,1,2.434387135,0,0.27584,32.59018,0.3,32.6,0.255971561,32.59039133,-1.699814469,-1.772027269,2.125,1,-3.82221806,-0.6,435975283.3422004,0.26081066048879575,-0.279583928
23,25,2/18/2010,kampala,kizungu zone a,uganda,5,0,3.577030797,,0.27584,32.59018,0.3,32.6,0.255971561,32.59039133,-1.699814469,-1.772027269,2.125,1,-3.82221806,-0.6,435975283.3422004,0.26081066048879575,-0.279583928
24,26,2/18/2010,kampala,kizungu zone a,uganda,6,2,-0.728916392,0,0.27584,32.59018,0.3,32.6,0.255971561,32.59039133,-1.699814469,-1.772027269,2.125,1,-3.82221806,-0.6,435975283.3422004,0.26081066048879575,-0.279583928
25,27,2/18/2010,kampala,kizungu zone a,uganda,5,0,3.587248981,,0.27584,32.59018,0.3,32.6,0.255971561,32.59039133,-1.699814469,-1.772027269,2.125,1,-3.82221806,-0.6,435975283.3422004,0.26081066048879575,-0.279583928
26,28,2/18/2010,kampala,kizungu zone a,uganda,3,0,3.118325541,,0.27584,32.59018,0.3,32.6,0.255971561,32.59039133,-1.699814469,-1.772027269,2.125,1,-3.82221806,-0.6,435975283.3422004,0.26081066048879575,-0.279583928
27,29,2/18/2010,kampala,kizungu zone a,uganda,5,2,3.577030797,0,0.27584,32.59018,0.3,32.6,0.255971561,32.59039133,-1.699814469,-1.772027269,2.125,1,-3.82221806,-0.6,435975283.3422004,0.26081066048879575,-0.279583928
28,30,2/18/2010,kampala,kizungu zone a,uganda,5,1,3.536850112,0,0.27584,32.59018,0.3,32.6,0.255971561,32.59039133,-1.699814469,-1.772027269,2.125,1,-3.82221806,-0.6,435975283.3422004,0.26081066048879575,-0.279583928
29,31,2/15/2010,manafwa,kaboole/butinga,uganda,4,1,-0.163884678,1,0.88334,34.42642,0.9,34.45,0.935776158,34.21127757,-1.634667158,-1.682110985,1.3333333333333333,0.8,-2.156750123,-0.3,359078132.7824406,0.18719740849726496,0.7346110548085582
30,32,2/15/2010,manafwa,kaboole/butinga,uganda,3,0,-1.063620677,,0.88334,34.42642,0.9,34.45,0.935776158,34.21127757,-1.634667158,-1.682110985,1.3333333333333333,0.8,-2.156750123,-0.3,359078132.7824406,0.18719740849726496,0.7346110548085582
31,33,2/15/2010,manafwa,kaboole/butinga,uganda,3,0,-1.962127085,1,0.88334,34.42642,0.9,34.45,0.935776158,34.21127757,-1.634667158,-1.682110985,1.3333333333333333,0.8,-2.156750123,-0.3,359078132.7824406,0.18719740849726496,0.7346110548085582
32,34,2/15/2010,manafwa,kaboole/butinga,uganda,3,1,-1.00753681,0,0.88334,34.42642,0.9,34.45,0.935776158,34.21127757,-1.634667158,-1.682110985,1.3333333333333333,0.8,-2.156750123,-0.3,359078132.7824406,0.18719740849726496,0.7346110548085582
