,house,district,census_tract,country,hh_size,migrant_num,wealth_index,remit,lat,long,lat_regrid,long_regrid,intensity,magnitude,duration,frequency,severity,dispersion,area,NDVI_mean,SVI_severity
30,31,niger,abdullahi,nigeria,6,0,0.2754794793292106,,9.080227094,6.01051127,9.1,6.0,-1.6170589526494343,-1.6216084559758503,1.3333333333333333,0.6,-2.122995893160502,-0.5999999999999999,167338914.89055356,0.22954344724489933,-0.2046245664318637
31,32,niger,abdullahi,nigeria,5,0,-0.530576068,,9.080227094,6.01051127,9.1,6.0,-1.6170589526494343,-1.6216084559758503,1.3333333333333333,0.6,-2.122995893160502,-0.5999999999999999,167338914.89055356,0.22954344724489933,-0.2046245664318637
32,33,niger,abdullahi,nigeria,5,4,0.7245157658067721,0.0,9.080227094,6.01051127,9.1,6.0,-1.6170589526494343,-1.6216084559758503,1.3333333333333333,0.6,-2.122995893160502,-0.5999999999999999,167338914.89055356,0.22954344724489933,-0.2046245664318637
33,34,niger,abdullahi,nigeria,3,0,1.1404048620879048,1.0,9.080227094,6.01051127,9.1,6.0,-1.6170589526494343,-1.6216084559758503,1.3333333333333333,0.6,-2.122995893160502,-0.5999999999999999,167338914.89055356,0.22954344724489933,-0.2046245664318637
34,35,niger,abdullahi,nigeria,12,2,-0.538548874,1.0,9.080227094,6.01051127,9.1,6.0,-1.6170589526494343,-1.6216084559758503,1.3333333333333333,0.6,-2.122995893160502,-0.5999999999999999,167338914.89055356,0.22954344724489933,-0.2046245664318637
35,36,niger,abdullahi,nigeria,7,0,0.7050542278842898,,9.080227094,6.01051127,9.1,6.0,-1.6170589526494343,-1.6216084559758503,1.3333333333333333,0.6,-2.122995893160502,-0.5999999999999999,167338914.89055356,0.22954344724489933,-0.2046245664318637
36,37,niger,abdullahi,nigeria,14,0,-1.979397693,,9.080227094,6.01051127,9.1,6.0,-1.6170589526494343,-1.6216084559758503,1.3333333333333333,0.6,-2.122995893160502,-0.5999999999999999,167338914.89055356,0.22954344724489933,-0.2046245664318637
37,38,niger,abdullahi,nigeria,9,0,1.3581881909401332,,9.080227094,6.01051127,9.1,6.0,-1.6170589526494343,-1.6216084559758503,1.3333333333333333,0.6,-2.122995893160502,-0.5999999999999999,167338914.89055356,0.22954344724489933,-0.2046245664318637
38,39,niger,abdullahi,nigeria,8,0,1.5250309380377107,,9.080227094,6.01051127,9.1,6.0,-1.6170589526494343,-1.6216084559758503,1.3333333333333333,0.6,-2.122995893160502,-0.5999999999999999,167338914.89055356,0.22954344724489933,-0.2046245664318637
39,40,niger,abdullahi,nigeria,10,0,-1.850401384,,9.080227094,6.01051127,9.1,6.0,-1.6170589526494343,-1.6216084559758503,1.3333333333333333,0.6,-2.122995893160502,-0.5999999999999999,167338914.89055356,0.22954344724489933,-0.2046245664318637
40,41,niger,abdullahi,nigeria,8,1,0.5137272142327574,0.0,9.080227094,6.01051127,9.1,6.0,-1.6170589526494343,-1.6216084559758503,1.3333333333333333,0.6,-2.122995893160502,-0.5999999999999999,167338914.89055356,0.22954344724489933,-0.2046245664318637
41,42,niger,abdullahi,nigeria,8,0,0.5385208184476934,1.0,9.080227094,6.01051127,9.1,6.0,-1.6170589526494343,-1.6216084559758503,1.3333333333333333,0.6,-2.122995893160502,-0.5999999999999999,167338914.89055356,0.22954344724489933,-0.2046245664318637
42,43,niger,abdullahi,nigeria,21,7,2.585045577572483,0.0,9.080227094,6.01051127,9.1,6.0,-1.6170589526494343,-1.6216084559758503,1.3333333333333333,0.6,-2.122995893160502,-0.5999999999999999,167338914.89055356,0.22954344724489933,-0.2046245664318637
43,44,niger,abdullahi,nigeria,5,0,3.045757706035427,,9.080227094,6.01051127,9.1,6.0,-1.6170589526494343,-1.6216084559758503,1.3333333333333333,0.6,-2.122995893160502,-0.5999999999999999,167338914.89055356,0.22954344724489933,-0.2046245664318637
