house,census_tract,district,country,date,wealth_index,hh_size,migrant_num,any_remit,migrant_hh,migrant_loc,hh_months,remit,lat,long
41,bugaga/bunangwe,kamuli,uganda,2010-02-16,-1.3088705178842,6,0,NA,NA,NA,NA,NA,0.96222,33.25307
42,bugaga/bunangwe,kamuli,uganda,2010-02-16,-0.107189452111504,8,0,NA,NA,NA,NA,NA,0.96222,33.25307
43,bugaga/bunangwe,kamuli,uganda,2010-02-16,-2.5372884586048,6,0,NA,NA,NA,NA,NA,0.96222,33.25307
44,bugaga/bunangwe,kamuli,uganda,2010-02-16,-1.98521684783201,9,6,NA,hh,national,120,NA,0.96222,33.25307
44,bugaga/bunangwe,kamuli,uganda,2010-02-16,-1.98521684783201,9,6,NA,hh,international,48,NA,0.96222,33.25307
44,bugaga/bunangwe,kamuli,uganda,2010-02-16,-1.98521684783201,9,6,NA,hh,national,2,NA,0.96222,33.25307
44,bugaga/bunangwe,kamuli,uganda,2010-02-16,-1.98521684783201,9,6,NA,hh,national,48,NA,0.96222,33.25307
44,bugaga/bunangwe,kamuli,uganda,2010-02-16,-1.98521684783201,9,6,NA,hh,national,24,NA,0.96222,33.25307
44,bugaga/bunangwe,kamuli,uganda,2010-02-16,-1.98521684783201,9,6,NA,hh,national,36,NA,0.96222,33.25307
45,bugaga/bunangwe,kamuli,uganda,2010-02-16,-1.71097410081126,2,8,NA,hh,national,84,NA,0.96222,33.25307
45,bugaga/bunangwe,kamuli,uganda,2010-02-16,-1.71097410081126,2,8,NA,hh,national,120,NA,0.96222,33.25307
45,bugaga/bunangwe,kamuli,uganda,2010-02-16,-1.71097410081126,2,8,NA,hh,national,252,NA,0.96222,33.25307
45,bugaga/bunangwe,kamuli,uganda,2010-02-16,-1.71097410081126,2,8,NA,hh,national,360,NA,0.96222,33.25307
45,bugaga/bunangwe,kamuli,uganda,2010-02-16,-1.71097410081126,2,8,NA,hh,national,312,NA,0.96222,33.25307
45,bugaga/bunangwe,kamuli,uganda,2010-02-16,-1.71097410081126,2,8,NA,hh,national,324,NA,0.96222,33.25307
45,bugaga/bunangwe,kamuli,uganda,2010-02-16,-1.71097410081126,2,8,NA,hh,national,204,NA,0.96222,33.25307
45,bugaga/bunangwe,kamuli,uganda,2010-02-16,-1.71097410081126,2,8,NA,hh,national,60,NA,0.96222,33.25307
46,bugaga/bunangwe,kamuli,uganda,2010-02-16,-0.389320905068341,8,3,1,hh,national,36,1,0.96222,33.25307
46,bugaga/bunangwe,kamuli,uganda,2010-02-16,-0.389320905068341,8,3,1,hh,international,48,1,0.96222,33.25307
46,bugaga/bunangwe,kamuli,uganda,2010-02-16,-0.389320905068341,8,3,1,hh,international,120,NA,0.96222,33.25307
47,bugaga/bunangwe,kamuli,uganda,2010-02-16,-0.145116187040045,8,0,1,non-hh,national,NA,1,0.96222,33.25307
48,bugaga/bunangwe,kamuli,uganda,2010-02-16,-2.56295629371127,8,0,NA,NA,NA,NA,NA,0.96222,33.25307
49,bugaga/bunangwe,kamuli,uganda,2010-02-16,-1.35383344746973,5,1,NA,hh,national,1,NA,0.96222,33.25307
50,bugaga/bunangwe,kamuli,uganda,2010-02-16,-0.989403834649006,5,0,NA,NA,NA,NA,NA,0.96222,33.25307
51,paila west/central,nebbi,uganda,2010-02-12,-2.21962531726571,12,1,NA,hh,national,84,NA,2.46547,31.31556
52,paila west/central,nebbi,uganda,2010-02-12,-1.60703477437482,6,1,1,hh,national,15,1,2.46547,31.31556
