house,department,census_tract,country,hh_size,migrant_num,wealth_index,remit,lat,long
644,dakar,hlm 4,senegal,10,1,1.34766539625631,1,14.71207849,-17.44431032
1024,louga,keur serigne louga,senegal,14,0,3.13236666903571,NA,15.60644218,-16.23380986
1068,louga,santhiaba centre,senegal,7,2,2.75783376475398,1,15.6277561,-16.22782692
646,dakar,hlm 4,senegal,11,1,1.77769833159114,1,14.71207849,-17.44431032
3068,dakar,dieuppeul 1,senegal,5,0,2.65137689806197,NA,14.71807,-17.45718
156,dakar,hlm 6 nimzatt,senegal,5,2,2.74979026106448,1,14.72704,-17.4436
325,dakar,liberte 3,senegal,8,1,1.87990248072354,0,14.71592245,-17.45517723
841,diourbel,medinatoul,senegal,22,2,2.41831460369701,1,14.73727345,-16.24237956
3015,dakar,pa unite 11,senegal,4,1,1.89418253511999,0,14.75896766,-17.43245729
3038,dakar,liberte 6,senegal,5,1,2.58666345165706,1,14.73104,-17.46105
1110,kaolack,ndorong,senegal,14,3,2.5261703477052,1,14.08694396,-16.35938655
124,dakar,castor,senegal,6,3,1.43669263220982,1,14.72704,-17.4436
3039,dakar,liberte 6,senegal,9,2,1.85535446727704,1,14.73104,-17.46105
603,dakar,hlm 4,senegal,4,2,2.04949480649179,1,14.71207849,-17.44431032
182,dakar,gibraltar,senegal,18,4,1.13843852676851,1,14.68713208,-17.44338479
1407,matam,moderne,senegal,6,0,2.58014901082919,NA,15.61359152,-13.32345921
1125,kaolack,sara ndiougary,senegal,18,1,1.27000926057041,0,NA,NA
738,gossas,keur el hadji,senegal,20,4,2.93021418883751,1,14.49623916,-16.0640894
1847,st-louis,sor nord,senegal,22,2,1.56149435524643,1,16.03200409,-16.47188231
567,pikine,cite icotaf,senegal,10,1,2.01066673864884,1,14.7155408,-17.26173081
602,dakar,hlm 4,senegal,8,2,1.99772404936785,0,14.71207849,-17.44431032
270,dakar,sacre coeur 3,senegal,4,3,3.39595538631091,1,14.72046,-17.46744
4,dakar,grand medine,senegal,14,4,1.88937581703133,1,14.74795,-17.44715
128,dakar,castor,senegal,6,3,1.27293344963281,0,14.72704,-17.4436
244,rufisque,gueule tapee,senegal,20,4,2.33705444409524,0,14.68287,-17.45728
3012,dakar,liberte 3,senegal,9,3,2.03008077257031,1,14.71592245,-17.45517723
249,dakar,gueule tapee,senegal,18,0,2.43135118028526,NA,14.68287,-17.45728
163,dakar,hlm 6 nimzat,senegal,16,3,2.51802410228047,1,14.72704,-17.4436
410,guediawaye,cite des enseignants,senegal,16,1,2.15955470538462,1,14.77683245,-17.40519022
403,guediawaye,cite des enseignants,senegal,9,0,2.00511987181413,NA,14.77683245,-17.40519022
339,dakar,zone b batiment,senegal,15,3,2.44799178078938,1,14.69727437,-17.45416872
521,dakar,liberte 1,senegal,10,0,2.01066673864884,NA,14.71053471,-17.46092585
1236,diourbel,thierno kandji,senegal,21,3,1.93301060296294,1,14.6563661,-16.23464222
4027,dakar,sacre coeur 3,senegal,5,0,2.64265455123405,NA,14.72046,-17.46744
574,pikine,cite icotaf,senegal,6,2,2.07148665718864,1,14.7155408,-17.26173081
536,dakar,hlm 5,senegal,7,2,2.58052964268533,1,NA,NA
570,pikine,cite icotaf,senegal,19,1,1.9778122197048,1,14.7155408,-17.26173081
667,mbour,tefess,senegal,14,2,1.98736989794307,1,14.4094197,-16.97209534
804,foundiougne,escale,senegal,6,0,1.97183867080589,NA,14.75636795,-17.14230905
253,dakar,gueule tapee,senegal,12,1,2.42521737131354,1,14.68287,-17.45728
985,louga,keur serigne louga,senegal,11,1,1.86312008084563,1,15.60644218,-16.23380986
435,guediawaye,parcelles ass u 4,senegal,4,1,2.67726227662394,1,14.76143208,-17.4405089
228,dakar,dieuppeul 4,senegal,15,0,2.40968614417636,NA,14.71807,-17.45718
189,dakar,gibratar 1,senegal,5,2,1.97922365251834,1,14.68384,-17.42093
3048,dakar,liberte 3,senegal,2,2,2.72031068691995,1,14.71592245,-17.45517723
64,pikine,ousmane faye 05,senegal,6,1,1.53889678134222,1,14.8268,-17.27016
183,dakar,gilbratar 1,senegal,5,5,3.24453664280423,1,14.68384,-17.42093
591,dakar,hlm 4,senegal,6,0,2.58014901082919,NA,14.71207849,-17.44431032
408,guediawaye,cite des enseignants,senegal,9,3,2.03238069922478,1,14.77683245,-17.40519022
307,dakar,dieuppeul 1,senegal,4,1,3.2704220213662,1,14.71807,-17.45718
3049,dakar,sacre coeur 3,senegal,7,2,3.1927658856803,1,14.72046,-17.46744
215,dakar,sacre coeur 1,senegal,5,1,1.65538157194691,0,14.7166,-17.4627
560,pikine,samba niang,senegal,15,1,1.13906084509763,0,14.80972717,-15.90288816
346,thies,mbour i,senegal,5,0,0.510930145917177,NA,14.68562239,-17.45034661
200,dakar,ouagou niayes 2,senegal,4,1,3.16688050711834,0,14.70737,-17.449
295,dakar,dieuppeul,senegal,2,2,2.12715094217768,1,14.71807,-17.45718
3003,dakar,sacre coeur 1,senegal,4,1,2.04949480649179,1,14.7166,-17.4627
316,dakar,liberte 3,senegal,12,1,2.42521737131354,0,14.71592245,-17.45517723
195,dakar,ouagou niayes 2,senegal,20,3,1.96586512190697,1,14.70737,-17.449
998,louga,artillerie,senegal,11,0,1.63532874950033,NA,15.62705619,-16.2230668
1042,louga,montagne,senegal,21,4,1.84241177799606,1,15.62330287,-16.21748196
3008,dakar,liberte 3,senegal,11,1,2.58441244946963,1,14.71592245,-17.45517723
197,dakar,ouagou niayes 2,senegal,14,5,3.1927658856803,1,14.70737,-17.449
3005,dakar,sacre coeur 1,senegal,3,0,2.72031068691995,NA,14.7166,-17.4627
3029,dakar,sacre coeur 3,senegal,10,1,1.94595329224392,0,14.72046,-17.46744
294,dakar,dieupeul 3,senegal,8,0,1.95630744366871,NA,14.71807,-17.45718
3077,dakar,sacre coeur 1,senegal,4,0,3.42701784058527,NA,14.7166,-17.4627
529,dakar,saicap liberte i,senegal,11,3,3.16040916247784,1,14.71053471,-17.46092585
647,dakar,hlm 4,senegal,9,1,1.85535446727704,1,14.71207849,-17.44431032
1283,mbacke,mbacke khewar,senegal,30,0,1.81652639943409,NA,14.80411689,-15.91020024
972,louga,keur serigne louga,senegal,13,4,2.39415491703918,1,15.60644218,-16.23380986
3047,dakar,liberte 3,senegal,11,0,2.4248367394574,NA,14.71592245,-17.45517723
735,gossas,keur el hadji,senegal,14,2,0.75159669738521,1,14.49623916,-16.0640894
333,dakar,zone b batiment,senegal,6,0,3.25747933208522,NA,14.69727437,-17.45416872
1696,ziguinchor,diefaye,senegal,6,0,3.06333899287047,NA,12.57853941,-16.25514132
