house,district,census_tract,country,date,hh_size,migrant_num,wealth_index,remit,lat,long,lat_regrid,long_regrid,intensity,magnitude,duration,frequency,severity,dispersion
61,kisii,nyokabaria,kenya,11/8/2009,2,0,-0.516799982,,-0.674091366,34.77188889,-0.65,34.75,-1.669518083,-1.810628504,2.25,0.666666667,-3.939295411,-0.666666667
62,kisii,nyokabaria,kenya,11/8/2009,3,0,-0.628616663,,-0.674091366,34.77188889,-0.65,34.75,-1.669518083,-1.810628504,2.25,0.666666667,-3.939295411,-0.666666667
63,kisii,nyokabaria,kenya,11/11/2009,1,0,0.711043299,,-0.674091366,34.77188889,-0.65,34.75,-1.669518083,-1.810628504,2.25,0.666666667,-3.939295411,-0.666666667
64,kisii,nyokabaria,kenya,11/10/2009,4,0,3.172510728,,-0.674091366,34.77188889,-0.65,34.75,-1.669518083,-1.810628504,2.25,0.666666667,-3.939295411,-0.666666667
65,kisii,nyokabaria,kenya,11/10/2009,6,0,0.98786441,,-0.674091366,34.77188889,-0.65,34.75,-1.669518083,-1.810628504,2.25,0.666666667,-3.939295411,-0.666666667
66,kisii,nyokabaria,kenya,11/8/2009,6,0,0.858425867,,-0.674091366,34.77188889,-0.65,34.75,-1.669518083,-1.810628504,2.25,0.666666667,-3.939295411,-0.666666667
67,kisii,kerera,kenya,11/9/2009,9,3,0.078673198,1,-0.754425695,34.82872552,-0.75,34.85,-1.575954686,-1.726266334,2.75,1.166666667,-4.547221253,-0.880952381
68,kisii,irianyi,kenya,11/8/2009,4,9,3.053098658,1,-0.662238252,34.85472107,-0.65,34.85,-1.670467877,-1.804299593,2.4,0.833333333,-4.115526438,-0.833333333
69,kisii,irianyi,kenya,11/8/2009,7,7,0.873465578,1,-0.662238252,34.85472107,-0.65,34.85,-1.670467877,-1.804299593,2.4,0.833333333,-4.115526438,-0.833333333
70,kisii,irianyi,kenya,11/8/2009,6,6,1.48988447,1,-0.662238252,34.85472107,-0.65,34.85,-1.670467877,-1.804299593,2.4,0.833333333,-4.115526438,-0.833333333
71,kisii,kerera,kenya,11/9/2009,6,1,1.589243591,1,-0.754425695,34.82872552,-0.75,34.85,-1.575954686,-1.726266334,2.75,1.166666667,-4.547221253,-0.880952381
72,kisii,kerera,kenya,11/9/2009,4,2,-0.480236652,0,-0.754425695,34.82872552,-0.75,34.85,-1.575954686,-1.726266334,2.75,1.166666667,-4.547221253,-0.880952381
73,kisii,kerera,kenya,11/9/2009,7,4,0.723083095,1,-0.754425695,34.82872552,-0.75,34.85,-1.575954686,-1.726266334,2.75,1.166666667,-4.547221253,-0.880952381
74,kisii,kerera,kenya,11/9/2009,4,4,1.072590695,1,-0.754425695,34.82872552,-0.75,34.85,-1.575954686,-1.726266334,2.75,1.166666667,-4.547221253,-0.880952381
75,kisii,bonyanchaire,kenya,11/8/2009,3,3,-0.555102234,1,-0.678288351,34.70904985,-0.7,34.7,-1.732563655,-1.90542086,2.666666667,0.5,-4.709439913,-0.5
76,kisii,bonyanchaire,kenya,11/9/2009,5,6,-0.540062523,1,-0.678288351,34.70904985,-0.7,34.7,-1.732563655,-1.90542086,2.666666667,0.5,-4.709439913,-0.5
77,kisii,bonyanchaire,kenya,11/9/2009,7,1,3.133310451,1,-0.678288351,34.70904985,-0.7,34.7,-1.732563655,-1.90542086,2.666666667,0.5,-4.709439913,-0.5
78,kisii,bonyanchaire,kenya,11/9/2009,3,5,2.005270987,1,-0.678288351,34.70904985,-0.7,34.7,-1.732563655,-1.90542086,2.666666667,0.5,-4.709439913,-0.5
79,kisii,kerera,kenya,11/9/2009,4,1,3.073151607,0,-0.754425695,34.82872552,-0.75,34.85,-1.575954686,-1.726266334,2.75,1.166666667,-4.547221253,-0.880952381
80,kisii,kerera,kenya,11/9/2009,9,1,0.903545,1,-0.754425695,34.82872552,-0.75,34.85,-1.575954686,-1.726266334,2.75,1.166666667,-4.547221253,-0.880952381
81,kisii,kerera,kenya,11/10/2009,5,2,0.868452341,1,-0.754425695,34.82872552,-0.75,34.85,-1.575954686,-1.726266334,2.75,1.166666667,-4.547221253,-0.880952381
82,kisii,kerera,kenya,11/9/2009,2,1,1.96917568,1,-0.754425695,34.82872552,-0.75,34.85,-1.575954686,-1.726266334,2.75,1.166666667,-4.547221253,-0.880952381
83,kisii,kerera,kenya,11/10/2009,10,1,3.193469296,0,-0.754425695,34.82872552,-0.75,34.85,-1.575954686,-1.726266334,2.75,1.166666667,-4.547221253,-0.880952381
84,kisii,kerera,kenya,11/10/2009,9,1,3.263654615,1,-0.754425695,34.82872552,-0.75,34.85,-1.575954686,-1.726266334,2.75,1.166666667,-4.547221253,-0.880952381
85,kisii,irianyi,kenya,11/9/2009,4,6,1.259615843,1,-0.662238252,34.85472107,-0.65,34.85,-1.670467877,-1.804299593,2.4,0.833333333,-4.115526438,-0.833333333
86,kisii,irianyi,kenya,11/9/2009,3,2,2.802777083,1,-0.662238252,34.85472107,-0.65,34.85,-1.670467877,-1.804299593,2.4,0.833333333,-4.115526438,-0.833333333
87,kisii,irianyi,kenya,11/9/2009,3,5,3.3181636,1,-0.662238252,34.85472107,-0.65,34.85,-1.670467877,-1.804299593,2.4,0.833333333,-4.115526438,-0.833333333
88,kisii,bomakombi,kenya,11/10/2009,3,3,0.188970291,1,-0.70441522,34.69546123,-0.7,34.7,-1.732563655,-1.90542086,2.666666667,0.5,-4.709439913,-0.5
89,kisii,nyokabaria,kenya,11/8/2009,3,2,-0.585181656,1,-0.674091366,34.77188889,-0.65,34.75,-1.669518083,-1.810628504,2.25,0.666666667,-3.939295411,-0.666666667
90,kisii,nyokabaria,kenya,11/8/2009,5,3,0.828346444,1,-0.674091366,34.77188889,-0.65,34.75,-1.669518083,-1.810628504,2.25,0.666666667,-3.939295411,-0.666666667
91,kisii,irianyi,kenya,11/8/2009,5,2,2.535388502,1,-0.662238252,34.85472107,-0.65,34.85,-1.670467877,-1.804299593,2.4,0.833333333,-4.115526438,-0.833333333
92,kisii,irianyi,kenya,11/9/2009,4,1,3.073151607,1,-0.662238252,34.85472107,-0.65,34.85,-1.670467877,-1.804299593,2.4,0.833333333,-4.115526438,-0.833333333
93,kisii,bomakombi,kenya,11/10/2009,4,2,2.334416332,1,-0.70441522,34.69546123,-0.7,34.7,-1.732563655,-1.90542086,2.666666667,0.5,-4.709439913,-0.5
94,kisii,bomakombi,kenya,11/10/2009,4,1,1.769720126,1,-0.70441522,34.69546123,-0.7,34.7,-1.732563655,-1.90542086,2.666666667,0.5,-4.709439913,-0.5
95,kisii,bomakombi,kenya,11/10/2009,6,1,0.30928798,1,-0.70441522,34.69546123,-0.7,34.7,-1.732563655,-1.90542086,2.666666667,0.5,-4.709439913,-0.5
98,kisii,bonyanchaire,kenya,11/8/2009,2,3,3.053098658,1,-0.678288351,34.70904985,-0.7,34.7,-1.732563655,-1.90542086,2.666666667,0.5,-4.709439913,-0.5
99,kisii,bonyanchaire,kenya,11/9/2009,6,1,0.858425867,1,-0.678288351,34.70904985,-0.7,34.7,-1.732563655,-1.90542086,2.666666667,0.5,-4.709439913,-0.5
100,kisii,bomakombi,kenya,11/10/2009,4,3,0.249129136,1,-0.70441522,34.69546123,-0.7,34.7,-1.732563655,-1.90542086,2.666666667,0.5,-4.709439913,-0.5
101,kisii,bomakombi,kenya,11/10/2009,4,1,3.848320831,1,-0.70441522,34.69546123,-0.7,34.7,-1.732563655,-1.90542086,2.666666667,0.5,-4.709439913,-0.5
102,kisii,bomakombi,kenya,11/10/2009,4,2,0.056189589,1,-0.70441522,34.69546123,-0.7,34.7,-1.732563655,-1.90542086,2.666666667,0.5,-4.709439913,-0.5
103,kisii,bonyanchaire,kenya,11/9/2009,5,1,-0.744988286,1,-0.678288351,34.70904985,-0.7,34.7,-1.732563655,-1.90542086,2.666666667,0.5,-4.709439913,-0.5
104,kisii,bonyanchaire,kenya,11/8/2009,5,1,1.504924181,0,-0.678288351,34.70904985,-0.7,34.7,-1.732563655,-1.90542086,2.666666667,0.5,-4.709439913,-0.5
105,kisii,kerera,kenya,11/9/2009,5,5,3.192563676,1,-0.754425695,34.82872552,-0.75,34.85,-1.575954686,-1.726266334,2.75,1.166666667,-4.547221253,-0.880952381
106,kisii,kerera,kenya,11/9/2009,5,1,0.918584711,1,-0.754425695,34.82872552,-0.75,34.85,-1.575954686,-1.726266334,2.75,1.166666667,-4.547221253,-0.880952381
107,kisii,kerera,kenya,11/9/2009,4,1,0.771202144,1,-0.754425695,34.82872552,-0.75,34.85,-1.575954686,-1.726266334,2.75,1.166666667,-4.547221253,-0.880952381
108,kisii,kerera,kenya,11/10/2009,6,1,1.086711132,1,-0.754425695,34.82872552,-0.75,34.85,-1.575954686,-1.726266334,2.75,1.166666667,-4.547221253,-0.880952381
109,kisii,irianyi,kenya,11/8/2009,5,0,3.358269497,,-0.662238252,34.85472107,-0.65,34.85,-1.670467877,-1.804299593,2.4,0.833333333,-4.115526438,-0.833333333
110,kisii,irianyi,kenya,11/9/2009,4,0,3.338216549,,-0.662238252,34.85472107,-0.65,34.85,-1.670467877,-1.804299593,2.4,0.833333333,-4.115526438,-0.833333333
111,kisii,irianyi,kenya,11/9/2009,7,0,1.800068546,,-0.662238252,34.85472107,-0.65,34.85,-1.670467877,-1.804299593,2.4,0.833333333,-4.115526438,-0.833333333
112,kisii,irianyi,kenya,11/8/2009,8,0,3.418428342,1,-0.662238252,34.85472107,-0.65,34.85,-1.670467877,-1.804299593,2.4,0.833333333,-4.115526438,-0.833333333
113,kisii,kerera,kenya,11/10/2009,5,0,1.073636049,,-0.754425695,34.82872552,-0.75,34.85,-1.575954686,-1.726266334,2.75,1.166666667,-4.547221253,-0.880952381
114,kisii,kerera,kenya,11/10/2009,6,0,3.113257503,,-0.754425695,34.82872552,-0.75,34.85,-1.575954686,-1.726266334,2.75,1.166666667,-4.547221253,-0.880952381
115,kisii,kerera,kenya,11/10/2009,5,0,2.35446928,,-0.754425695,34.82872552,-0.75,34.85,-1.575954686,-1.726266334,2.75,1.166666667,-4.547221253,-0.880952381
116,kisii,kerera,kenya,11/10/2009,6,0,2.451719477,,-0.754425695,34.82872552,-0.75,34.85,-1.575954686,-1.726266334,2.75,1.166666667,-4.547221253,-0.880952381
117,kisii,kerera,kenya,11/9/2009,1,0,0.721069773,,-0.754425695,34.82872552,-0.75,34.85,-1.575954686,-1.726266334,2.75,1.166666667,-4.547221253,-0.880952381
118,kisii,kerera,kenya,11/10/2009,2,0,3.03304571,1,-0.754425695,34.82872552,-0.75,34.85,-1.575954686,-1.726266334,2.75,1.166666667,-4.547221253,-0.880952381
119,kisii,kerera,kenya,11/9/2009,6,0,3.62864402,,-0.754425695,34.82872552,-0.75,34.85,-1.575954686,-1.726266334,2.75,1.166666667,-4.547221253,-0.880952381
120,kisii,kerera,kenya,11/9/2009,5,0,3.707950193,,-0.754425695,34.82872552,-0.75,34.85,-1.575954686,-1.726266334,2.75,1.166666667,-4.547221253,-0.880952381
121,kisii,irianyi,kenya,11/8/2009,3,4,3.053098658,1,-0.662238252,34.85472107,-0.65,34.85,-1.670467877,-1.804299593,2.4,0.833333333,-4.115526438,-0.833333333
122,kisii,irianyi,kenya,11/8/2009,4,4,0.802564082,0,-0.662238252,34.85472107,-0.65,34.85,-1.670467877,-1.804299593,2.4,0.833333333,-4.115526438,-0.833333333
123,kisii,nyokabaria,kenya,11/8/2009,5,1,-1.861103436,0,-0.674091366,34.77188889,-0.65,34.75,-1.669518083,-1.810628504,2.25,0.666666667,-3.939295411,-0.666666667
124,kisii,nyokabaria,kenya,11/8/2009,6,1,-1.553358183,0,-0.674091366,34.77188889,-0.65,34.75,-1.669518083,-1.810628504,2.25,0.666666667,-3.939295411,-0.666666667
125,kisii,kerera,kenya,11/8/2009,4,7,-0.678626928,1,-0.754425695,34.82872552,-0.75,34.85,-1.575954686,-1.726266334,2.75,1.166666667,-4.547221253,-0.880952381
127,kisii,bonyanchaire,kenya,11/10/2009,2,4,0.059531747,1,-0.678288351,34.70904985,-0.7,34.7,-1.732563655,-1.90542086,2.666666667,0.5,-4.709439913,-0.5
128,kisii,bonyanchaire,kenya,11/10/2009,1,5,0.324770379,0,-0.678288351,34.70904985,-0.7,34.7,-1.732563655,-1.90542086,2.666666667,0.5,-4.709439913,-0.5
129,kisii,bonyanchaire,kenya,11/9/2009,7,1,0.08961117,1,-0.678288351,34.70904985,-0.7,34.7,-1.732563655,-1.90542086,2.666666667,0.5,-4.709439913,-0.5
130,kisii,bonyanchaire,kenya,11/9/2009,4,1,2.025323935,1,-0.678288351,34.70904985,-0.7,34.7,-1.732563655,-1.90542086,2.666666667,0.5,-4.709439913,-0.5
131,kisii,bonyanchaire,kenya,11/9/2009,7,1,3.567919834,0,-0.678288351,34.70904985,-0.7,34.7,-1.732563655,-1.90542086,2.666666667,0.5,-4.709439913,-0.5
133,kisii,bomakombi,kenya,11/10/2009,5,2,1.692931254,1,-0.70441522,34.69546123,-0.7,34.7,-1.732563655,-1.90542086,2.666666667,0.5,-4.709439913,-0.5
134,kisii,bomakombi,kenya,11/10/2009,5,1,2.431666529,1,-0.70441522,34.69546123,-0.7,34.7,-1.732563655,-1.90542086,2.666666667,0.5,-4.709439913,-0.5
135,kisii,bomakombi,kenya,11/10/2009,3,1,-0.688653402,1,-0.70441522,34.69546123,-0.7,34.7,-1.732563655,-1.90542086,2.666666667,0.5,-4.709439913,-0.5
136,kisii,bomakombi,kenya,11/10/2009,3,1,-0.106960441,1,-0.70441522,34.69546123,-0.7,34.7,-1.732563655,-1.90542086,2.666666667,0.5,-4.709439913,-0.5
137,kisii,irianyi,kenya,11/9/2009,3,1,0.798267022,1,-0.662238252,34.85472107,-0.65,34.85,-1.670467877,-1.804299593,2.4,0.833333333,-4.115526438,-0.833333333
138,kisii,irianyi,kenya,11/9/2009,4,1,0.109664118,0,-0.662238252,34.85472107,-0.65,34.85,-1.670467877,-1.804299593,2.4,0.833333333,-4.115526438,-0.833333333
139,kisii,irianyi,kenya,11/9/2009,3,2,0.021895065,1,-0.662238252,34.85472107,-0.65,34.85,-1.670467877,-1.804299593,2.4,0.833333333,-4.115526438,-0.833333333
140,kisii,irianyi,kenya,11/8/2009,4,2,0.816314675,1,-0.662238252,34.85472107,-0.65,34.85,-1.670467877,-1.804299593,2.4,0.833333333,-4.115526438,-0.833333333
141,kisii,irianyi,kenya,11/8/2009,5,1,0.161073474,1,-0.662238252,34.85472107,-0.65,34.85,-1.670467877,-1.804299593,2.4,0.833333333,-4.115526438,-0.833333333
143,kisii,irianyi,kenya,11/9/2009,2,2,-1.90622257,1,-0.662238252,34.85472107,-0.65,34.85,-1.670467877,-1.804299593,2.4,0.833333333,-4.115526438,-0.833333333
144,kisii,irianyi,kenya,11/9/2009,2,1,0.788240548,1,-0.662238252,34.85472107,-0.65,34.85,-1.670467877,-1.804299593,2.4,0.833333333,-4.115526438,-0.833333333
145,kisii,nyokabaria,kenya,11/10/2009,2,4,-1.261509166,1,-0.674091366,34.77188889,-0.65,34.75,-1.669518083,-1.810628504,2.25,0.666666667,-3.939295411,-0.666666667
146,kisii,nyokabaria,kenya,11/8/2009,3,3,-1.256495929,1,-0.674091366,34.77188889,-0.65,34.75,-1.669518083,-1.810628504,2.25,0.666666667,-3.939295411,-0.666666667
147,kisii,nyokabaria,kenya,11/8/2009,6,3,-0.543070465,1,-0.674091366,34.77188889,-0.65,34.75,-1.669518083,-1.810628504,2.25,0.666666667,-3.939295411,-0.666666667
148,kisii,nyokabaria,kenya,11/8/2009,5,2,0.08961117,1,-0.674091366,34.77188889,-0.65,34.75,-1.669518083,-1.810628504,2.25,0.666666667,-3.939295411,-0.666666667
149,kisii,nyokabaria,kenya,11/8/2009,4,4,-0.670605749,1,-0.674091366,34.77188889,-0.65,34.75,-1.669518083,-1.810628504,2.25,0.666666667,-3.939295411,-0.666666667
150,kisii,nyokabaria,kenya,11/8/2009,3,1,-1.019884192,1,-0.674091366,34.77188889,-0.65,34.75,-1.669518083,-1.810628504,2.25,0.666666667,-3.939295411,-0.666666667
