house,country,hh_size,migrant_num,wealth_index,remit,municipality,lat,long,district
60,south_africa,6,0,-1.019265136150684,NA,mogale city,-25.9871,27.683,west rand district municipality
61,south_africa,1,1,-2.7087179923400724,1,westonaria,-26.3936,27.6565,west rand district municipality
62,south_africa,2,0,-2.0294731030248285,NA,westonaria,-26.3936,27.6565,west rand district municipality
63,south_africa,6,0,-1.352620263972175,NA,westonaria,-26.3936,27.6565,west rand district municipality
64,south_africa,3,0,-2.036236705133833,NA,westonaria,-26.3936,27.6565,west rand district municipality
65,south_africa,7,0,-1.2179910977518669,NA,westonaria,-26.3936,27.6565,west rand district municipality
66,south_africa,1,0,-2.1551588915135307,NA,westonaria,-26.3936,27.6565,west rand district municipality
68,south_africa,7,0,0.2512985423999816,NA,westonaria,-26.3936,27.6565,west rand district municipality
69,south_africa,3,0,0.47048754548678406,NA,westonaria,-26.3936,27.6565,west rand district municipality
70,south_africa,4,0,1.4838798291387558,NA,westonaria,-26.3936,27.6565,west rand district municipality
71,south_africa,3,0,-0.5468157089010411,NA,westonaria,-26.3936,27.6565,west rand district municipality
72,south_africa,5,0,0.30267093332752837,NA,westonaria,-26.3936,27.6565,west rand district municipality
73,south_africa,3,0,-0.5938724609271987,NA,emfuleni,-26.70620512,27.83267563,sedibeng district municipality
74,south_africa,6,1,-0.10884448766147975,1,emfuleni,-26.70620512,27.83267563,sedibeng district municipality
75,south_africa,5,0,0.6433894694387426,NA,emfuleni,-26.70620512,27.83267563,sedibeng district municipality
76,south_africa,5,0,-0.6238742952923612,NA,emfuleni,-26.70620512,27.83267563,sedibeng district municipality
77,south_africa,3,0,-0.16671592898222004,NA,emfuleni,-26.70620512,27.83267563,sedibeng district municipality
78,south_africa,4,1,-0.32083310176486024,1,emfuleni,-26.70620512,27.83267563,sedibeng district municipality
79,south_africa,5,0,2.502268548590477,NA,emfuleni,-26.70620512,27.83267563,sedibeng district municipality
80,south_africa,4,0,2.526242331023332,NA,emfuleni,-26.70620512,27.83267563,sedibeng district municipality
81,south_africa,4,0,0.9846610114729366,NA,emfuleni,-26.70620512,27.83267563,sedibeng district municipality
82,south_africa,3,0,-0.4749502745475005,NA,emfuleni,-26.70620512,27.83267563,sedibeng district municipality
83,south_africa,4,0,0.8819162296178432,NA,emfuleni,-26.70620512,27.83267563,sedibeng district municipality
84,south_africa,2,0,-0.8583843612590395,NA,emfuleni,-26.70620512,27.83267563,sedibeng district municipality
85,south_africa,3,0,0.006743391925500358,NA,emfuleni,-26.70620512,27.83267563,sedibeng district municipality
86,south_africa,8,0,-0.18590307405279985,1,emfuleni,-26.70620512,27.83267563,sedibeng district municipality
87,south_africa,2,0,-0.8432679065431217,NA,emfuleni,-26.70620512,27.83267563,sedibeng district municipality
88,south_africa,4,0,-1.0229890691653072,NA,emfuleni,-26.70620512,27.83267563,sedibeng district municipality
89,south_africa,2,0,-0.304825260432498,NA,emfuleni,-26.70620512,27.83267563,sedibeng district municipality
90,south_africa,3,0,-1.0229890691653072,NA,emfuleni,-26.70620512,27.83267563,sedibeng district municipality
91,south_africa,2,0,-2.843648020052133,NA,emfuleni,-26.70620512,27.83267563,sedibeng district municipality
92,south_africa,3,0,1.585137335737125,NA,emfuleni,-26.70620512,27.83267563,sedibeng district municipality
93,south_africa,4,0,-3.2727646282902416,NA,emfuleni,-26.70620512,27.83267563,sedibeng district municipality
94,south_africa,3,0,0.3540433242550751,NA,emfuleni,-26.70620512,27.83267563,sedibeng district municipality
95,south_africa,7,0,1.6044794838622056,NA,emfuleni,-26.70620512,27.83267563,sedibeng district municipality
96,south_africa,2,0,1.5956208935224057,NA,emfuleni,-26.70620512,27.83267563,sedibeng district municipality
97,south_africa,2,0,-0.34702007734730256,NA,NA,NA,NA,NA
98,south_africa,9,0,2.389738549415851,NA,NA,NA,NA,NA
99,south_africa,8,0,1.8741845362318255,NA,NA,NA,NA,NA
100,south_africa,4,0,0.3967632658881819,NA,NA,NA,NA,NA
101,south_africa,3,0,0.44976823661433063,NA,NA,NA,NA,NA
102,south_africa,4,0,0.12233127151248058,NA,NA,NA,NA,NA
103,south_africa,2,0,-2.862835165122713,NA,nokeng tsa taemane,-25.51197219,28.44150435,metsweding district municipality
104,south_africa,7,0,-3.812174733029482,NA,nokeng tsa taemane,-25.51197219,28.44150435,metsweding district municipality
106,south_africa,2,0,-3.375509410145335,NA,nokeng tsa taemane,-25.51197219,28.44150435,metsweding district municipality
107,south_africa,4,0,-0.304825260432498,NA,nokeng tsa taemane,-25.51197219,28.44150435,metsweding district municipality
