house,district,census_tract,country,hh_size,migrant_num,wealth_index,remit,lat,long,lat_regrid,long_regrid,intensity,magnitude,duration,frequency,severity,dispersion
36,niger,abdullahi,nigeria,7,0,0.7050542278842898,,9.080227094,6.01051127,9.1,6,-1.488130677,-1.490860379,1.2,1,-1.791692841,-0.666666667
37,niger,abdullahi,nigeria,14,0,-1.979397693,,9.080227094,6.01051127,9.1,6,-1.488130677,-1.490860379,1.2,1,-1.791692841,-0.666666667
38,niger,abdullahi,nigeria,9,0,1.3581881909401332,,9.080227094,6.01051127,9.1,6,-1.488130677,-1.490860379,1.2,1,-1.791692841,-0.666666667
39,niger,abdullahi,nigeria,8,0,1.5250309380377107,,9.080227094,6.01051127,9.1,6,-1.488130677,-1.490860379,1.2,1,-1.791692841,-0.666666667
40,niger,abdullahi,nigeria,10,0,-1.850401384,,9.080227094,6.01051127,9.1,6,-1.488130677,-1.490860379,1.2,1,-1.791692841,-0.666666667
41,niger,abdullahi,nigeria,8,1,0.5137272142327574,0,9.080227094,6.01051127,9.1,6,-1.488130677,-1.490860379,1.2,1,-1.791692841,-0.666666667
42,niger,abdullahi,nigeria,8,0,0.5385208184476934,1,9.080227094,6.01051127,9.1,6,-1.488130677,-1.490860379,1.2,1,-1.791692841,-0.666666667
43,niger,abdullahi,nigeria,21,7,2.585045577572483,0,9.080227094,6.01051127,9.1,6,-1.488130677,-1.490860379,1.2,1,-1.791692841,-0.666666667
44,niger,abdullahi,nigeria,5,0,3.045757706035427,,9.080227094,6.01051127,9.1,6,-1.488130677,-1.490860379,1.2,1,-1.791692841,-0.666666667
45,niger,abdullahi,nigeria,8,0,3.005745761002847,,9.080227094,6.01051127,9.1,6,-1.488130677,-1.490860379,1.2,1,-1.791692841,-0.666666667
46,niger,abdullahi,nigeria,6,1,-0.652058598,1,9.080227094,6.01051127,9.1,6,-1.488130677,-1.490860379,1.2,1,-1.791692841,-0.666666667
47,niger,abdullahi,nigeria,12,0,-0.89565688,,9.080227094,6.01051127,9.1,6,-1.488130677,-1.490860379,1.2,1,-1.791692841,-0.666666667
48,niger,abdullahi,nigeria,5,0,-1.044844294,,9.080227094,6.01051127,9.1,6,-1.488130677,-1.490860379,1.2,1,-1.791692841,-0.666666667
49,niger,abdullahi,nigeria,4,0,-1.420202507,,9.080227094,6.01051127,9.1,6,-1.488130677,-1.490860379,1.2,1,-1.791692841,-0.666666667
50,niger,abdullahi,nigeria,21,0,2.8880011646546424,,9.080227094,6.01051127,9.1,6,-1.488130677,-1.490860379,1.2,1,-1.791692841,-0.666666667
51,niger,abdullahi,nigeria,15,4,-1.589756173,1,9.080227094,6.01051127,9.1,6,-1.488130677,-1.490860379,1.2,1,-1.791692841,-0.666666667
52,niger,abdullahi,nigeria,5,0,0.9831254730469188,,9.080227094,6.01051127,9.1,6,-1.488130677,-1.490860379,1.2,1,-1.791692841,-0.666666667
53,niger,abdullahi,nigeria,5,0,1.1511221306998585,,9.080227094,6.01051127,9.1,6,-1.488130677,-1.490860379,1.2,1,-1.791692841,-0.666666667
54,niger,abdullahi,nigeria,3,0,1.493466093992223,,9.080227094,6.01051127,9.1,6,-1.488130677,-1.490860379,1.2,1,-1.791692841,-0.666666667
