location,parish,district,lat,long,landmark,notes
ntawawulwa,nabbingo,bamunanika,,,,
nursery cell,western division,soroti municp,,,,
nyakashojwa,nkanga,igara,,,,
nyamashamba,kafunjo,rukiga,,,,
nyangahya,southern ward,buruuli,,,,
nyansoro,kitemuzi,buyanja,,,,
obutowelo a/b,ojwina,lira municipality,,,,
ochaga,palenga,omoro,,,,
oduoro,kanapa,kumi,,,,
olaka/atyeto,agulurude,oyam,,,,
oloro,am0nomito,apala,,,,
olyeko/kyera/ayila,owaro,padyere,,,,
omubushami,nyakarambi,isingiro,,,,
osepai/dokolomoru,amucu,asamuk,,,,
otwori ipiny,adyeda,kole,,,,
owang central,atik,maruzi,,,,
paila west/central,alwi,jonam,,,,
pajokwo,magola,west budama,,,,
pajulo/ombavu,awika,vurra,,,,
rarak\kaucho b,hospital,pallisa,,,,
rugarama ii,kyabakara,bunyaruguru,,,,
rugorogoro,ngarama,bukanga,,,,
rusheshe,buhunga,rujumbura,,,,
rutoma,buramba,ndorwa,,,,
rutoma/rurama,kayenje,ruhaama,,,,
rwakaraba b,kijuguta,kabaale municipality,,,,
rwebikona b,kamukuzi,mbarara municipality,,,,
rwenkyende,kihanda,kinkizi,,,,
"rwentondo ""b""",kakoba,mbarara municipallit,,,,
ssabwe lci,ward b,mawokota,,,,
ssebalijja zone b,mengo,kcc,,,,
town centre i,kasese town council,busongora,,,,
vudrikali/aliso,anipi,ayivu,,,,
vuluga,lweru,buikwe,,,,
wheeling zone c,kansanga muyenga,kcc,,,,
yamiro/ arumadri/ ab,nyori-cheku,koboko,,,,
yugu/rada/ogwok,paley,okoro,,,,
zone iv c,nakulabye,kcc,,,,
